Sectors,,Units,Company (First),Company (Second),Company (Third),Company (Fourth)
,,Total Units,Investment per Unit,Total Investment,,
,,1147,1000,1147000,,
,,,,,,
Group 1,,,,,,
Abrasives,Company,,Carborundum Universal ,Grindwell norton,,
,Units,4,2,2,,
Aluminium,Company,,Hindalco,National aluminium,BALCO,
,Units,7,5,2,0,
Aquaculture,Company,,Avanti Feeds,Godrej AgroVet,IFB Agro,Kaveri Seed
,Units,7,2,2,0,3
Auto - 2 & 3 Wheelers,Company,,Hero Motocorp,Bajaj Auto,TVS Motor,Tube Investments of India Limited
,Units,17,5,5,5,2
Auto - Cars & Jeeps,Company,,Maruti Suzuki,Mahindra & Mahindra,,
,Units,30,20,10,,
Auto - LCVs & HCVs,Company,,Tata Motors,Eicher Motors,Ashok Leyland,SML ISUZU
,Units,37,5,30,2,0
Auto - Tractors,Company,,VSTTILLERS,,,
,Units,2,2,,,
Auto Ancillaries,Company,Auto,Bosch,Motherson Sumi,Exide Industries,Amara Raja Batteries
,PEP,,,,,Jaya Galla (TDP MP)
,Units,24,20,2,1,1
Auto Ancillaries,Company,,WABCO,Gabriel India,Shriram Pistons & Rings,Federal Mogul Goetze
,Units,2,2,0,0,0
Auto Ancillaries,Company,,Sundaram Clayton,Endurance ,Varroc,Minda Industries
,Units,2,0,2,0,0
Group 2,,,,,,
Banks - Private Sector,Company,,HDFC Bank,ICICI,Axis Bank,Kotak Mahindra Bank
,Units,29,20,5,2,2
Banks - Private Sector,Company,,Bandhan Bank,IndusInd Bank,YES Bank,
,Units,4,2,2,0,
Banks - Public Sector,Company,,SBI,Bank of Baroda,,
,Units,7,5,2,,
Bearings,Company,,SKF India,SCHAEFFLER India,,
,Units,4,2,2,,
Breweries & Distilleries,Company,,United Spirits,United Breweries,Radico Khaitan,IFB Agro
,Units,15,10,5,0,0
Cables - Power & Others,,,,,,
Cables - Telephone,,,,,,
Castings & Forgings,Company,,Bharat Forge,Mahindra CIE,AIA,
,Units,2,0,2,0,
Cement - Major,Company,,UltraTech ,ACC,Ambuja,Shree Cement
,Units,34,10,3,3,18
Cement - Major,Company,,Heidelberg cement,,,
,Units,2,2,,,
Cement - Mini,,,,,,
Cement - Products & Building Materials,,,,,,
Group 3,,,,,,
Ceramics & Granite,Company,,Kajaria Ceramics,Cera,HSIL,Somany Ceramics
,Units,8,2,2,2,2
Ceramics & Granite,Company,,Asian Granito,,,
,Units,4,2,2,,
Chemicals,Company,,Tata Chemicals,UPL,BASF,Pidilite
,Units,8,2,2,2,2
Cigarettes,Company,,ITC,VST Industries,Godfrey Phillips,
,Units,24,20,2,2,
Computer Software Training,Company,,ZEE LEARN,NIIT,Educomp,Tree house / Career Point
,Units,2,2,0,0,0
Computers - Hardware,,,,,,
Computers - Software,Company,,Tata Consultancy,Infosys,Wipro ,Tech Mahindra
,Units,40,20,10,5,5
Computers - Software,Company,,HCL Tech,Info Edge,Larsen & Toubro Infotech,
,Units,12,5,5,2,
Computers - Software - Training,,,,,,
Computers - Software Medium & Small,Company,,L&T Technology Services,Tata Elxsi,,
,Units,4,2,2,,
Group 4,,,,,,
Construction & Contracting - Civil,Company,,NAGARCON,Gammon,HCC,
,Units,2,2,0,0,
Construction & Contracting - Housing,Company,,Asiana Housing,,,
,Units,,0,,,
Construction & Contracting - Real Estate,Company,,DLF,Prestige,HUDCO,Brigade
,Units,14,5,5,2,2
Construction & Contracting - Real Estate,Company,,Sobha,Godrej Properties,Puravankara,Lodha Developers
,PEP,,,,,Mangal Prabhat Lodha (BJP MLA)
,Units,8,2,2,2,2
Consumer Goods - Electronic,Company,,Voltas,,,
,Units,2,2,,,
Consumer Goods - White Goods,Company,,Whirlpool,Johnson Controls Hitachi,Blue Star,IFB Industries
,Units,8,2,2,2,2
Couriers,Company,,Blue Dart Express,DTDC,,
,Units,4,4,0,,
Detergents,,,,,,
Diamond Cutting & Jewellery & Precious Metals,Company,,Titan Company,Rajesh Exports,PC Jeweller,
,Units,9,5,2,2,
Group 5,,,,,,
Diversified,Company,,3M India,Grasim,Godrej Industries,DCM Shriram
,Units,24,15,3,3,3
Diversified,Company,,Tata Investment Corp,Bajaj Holdings & Investments,M&M ,Pilani Investment & Industries
,Units,5,2,3,0,0
Domestic Appliances,Company,,TTK Prestige,Bajaj Electric,Hawkins Cooker,
,Units,5,5,0,0,
Dry Cells,Company,,Eveready ,Indo National,Panasonic Energy India,
,Units,2,2,0,0,
Dyes & Pigments,,,,,,
Edible Oils & Solvent Extraction,,,,,,
Electric Equipment,Company,,Havells,V-Guard,,
,Units,4,2,2,,
Electricals,Company,,Bharat Electronics,Crompton Greaves,,
,Units,7,5,2,,
Electrodes & Graphite,,,Graphite India,,,
Engineering,Company,,Quess Corp,,,
,Units,3,3,,,
Engineering - Heavy,,,ISGEC ?,,,
Group 6,,,,,,
Engines,Company,,Cummins,,,
,Units,2,2,,,
Fasteners,Company,,Sundaram Fasteners,,,
,Units,,0,,,
Fertilisers,Company,,Coromandel International,Chambal Fertilisers,Rashtriya Chemical and Fertilizer,National Fertilizer Limited 
,Units,4,2,2,0,0
Finance - General,,,,,,
Finance - Insurance,Company,,ICICI Lombard,The New India Assurance,General Insurance,IIFL Holdings
,Units,23,5,5,10,3
Finance - Insurance,Company,,ICICI Prudential,SBI Life,HDFC Standard Life,
,Units,15,5,5,5,
Finance - Housing,Company,,HDFC,LIC housing finance,Indiabulls housing finance,Dewan Housing Finance
,Units,20,10,5,3,2
Finance - Investments,Company,,Muthoot Finance,Bajaj FinServ,Tata Investment Corp,
,Units,10,5,3,2,
Finance - Investments,Company,,TI financial holding,L&T Finance Holdings,Aditya Birla Capital,
,Units,4,2,2,0,
Finance - Leasing & Hire Purchase,Company,,Bajaj Finance,Shriram Transport Finance,Mahindra & Mahindra Financial,Manappuram Finance
,Units,11,3,3,3,2
Finance - Leasing & Hire Purchase,Company,,Cholamandalam Investment & Finance,Sundaram Finance,Shriram City Union,
,Units,5,2,3,,
Finance - Term Lending Institutions,Company,,Power Finance,Rural Electrification Corporation,,
