,Comp #,EQ Collection ,SURI 250,Prepared By : @surinder432,Weight Multiplier,1000,Last Updated : 31-Jul-2018
,254,Company Category,Platinum,Diamond,Golden,Ruby,Silver
,Weight,,20,10,5,2,1
,Exp Value,860000,200000,200000,200000,160000,100000
,Ideal #,250,10,20,40,80,100
,Actual #,254,12,28,47,82,85
,Cur Value,1004000,240000,280000,235000,164000,85000
,,,,,,,
Category,Orgs #,Sub Category,Platinum,Diamond,Golden,Ruby,Silver
Alochol,1,Beer,,,UNITED BREWERIES,,
,1,Hard Drink,,,UNITED SPIRITS,,
Auto,2,Batteries,,,,EXIDE INDUSTRIES,AMARA RAJA BATTERIES
,4,Tyres - 1,,MRF,APOLLO TYRES,CEAT LIMITED,JK TYRE
,1,Tyres - 2 (off road),,,,,BALKRISHNA INDUSTRIES
,1,Glass,,,,,ASAHI INDIA GLASS
,4,2 W (Scooter & Motorcycle) & 3W,,HERO MOTOCORP,BAJAJ AUTO LIMITED,TVS MOTOR COMPANY,EICHER MOTORS
,4,Auto Ancilliary,,BOSCH,MOTHERSON SUMI,Endurance,WABCO
,1,4 W,MARUTI SUZUKI,,,,
,2,Bearing,,,,SKF INDIA,Schaeffler
,1,Truck,,,TATA MOTORS,,
,1,Bicycle,,,,Tube investment of India,
,1,Tractor Equipment,,,,,VST TILLERS TRACTORS
,1,Tractor,MAHINDRA & MAHINDRA,,,,
Casting & Forging & Fasteners,1,Casting & Forging,,,,,Mahindra CIE Automotive
Travel,1,Aviation,,,,INTERGLOBE AVIATION,
Bank & Finance & Insurance & Trading & Rating,5,Banks -1,HDFC BANK,STATE BANK OF INDIA,ICICI BANK,KOTAK MAHINDRA BANK,Bank of Baroda
,3,Banks-2,,,AXIS BANK LIMITED,IndusInd Bank,Bandhan Bank
,2,Finance - auto,,,Bajaj Finance,,SHRIRAM TRANSPORT FINANCE
,5,Finance - Housing,HDFC,LIC HOUSING FINANCE,INDIABULLS HOUSING FINANCE,HUDCO,Dewan Housing Finance
,2,Finance - Power,,,,PFC,REC
,4,Finance - mix of all finance types,,L&T Finance Holdings,MAHINDRA & MAHINDRA FINANCE,Cholamandalam Investment & Finance,IIFL Holdings
,2,Finance - Gold,,,,MUTHOOT FINANCE LIMITED,Mannapuram Finance
,3,Finance & Insurance - Both,,,BAJAJ FINSERV,Tube Investment Financial Holdings,Sundaram Finance
,2,Insurance - General,,,ICICI LOMBARD GEN,NEW INDIA ASSURANCE,
,3,Insurance - Life,,,SBI LIFE,HDFC LIFE,ICICI PRUDENTIAL LIFE
,1,Re-Insurance (Insurance of Insurance),,GIC Re,,,
,2,Stock Exchange,,,,BSE,MCX
,1,Stock Broker & Brokerage,,,,,ICICI Securities
,1,Asset Management,,,,,HDFC AMC
,1,Depository Service,,,,Central Depository,
,3,Rating agencies (Credit),,,CRISIL,CARE RATINGS,ICRA
Real Estate,4,Cements,ULTRATECH CEMENT,,ACC,AMBUJA CEMENTS,SHREE CEMENTS
,3,Developers - Pvt,,,DLF,PRESTIGE ESTATES,GODREJ PROPERTIES
,3,Developers - Pvt -2,,,BRIGADE ENTERPRISES,PURAVANKARA,SOBHA
