name_alias, ticker_real
Amr int, AMARAJABAT
Amr,  AMARAJABAT
Apollo hospitals ent, APOLLOHOSP
Asahi india glass li, ASAHIINDIA
Asianpaints, ASIANPAINT
Asian pnt, ASIANPAINT
Balkrishna industris, BALKRISIND 
Balkrishnaindustries, BALKRISIND
Bluedart, BLUEDART 
Brigade, BRIGADE 
Brigade enterprises, BRIGADE 
Bel, BEL 
Carborundum universa, CARBORUNIV
Colgatepalmolive, COLPAL
Container corporatio, CONCOR
Coromandel internat, COROMANDEL
Coromandel internati, COROMANDEL
Cox and Kings ltd, COX&KINGS 
Cox & Kings ltd, COX&KINGS 
Dr lal pathlabs lim, LALPATHLAB 
Dr lal pathlabs, LALPATHLAB 
Dr reddy's laborato, DRREDDY
Future lifestyle fas, FLFL 
Hindustan unilever l, HINDUNILVR 
Hdfc interim, HDFC 
Hdfc bank ltd, HDFCBANK 
Icici Pru, ICICIPRULI 
Indianulls housing, IBULHSGFIN  
Indiabulls housing, IBULHSGFIN 
Indraprastha gas lim, IGL
Infoedge india limi, NAUKRI 
Jubliant foodworks l, JUBLFOOD 
L&t finance holdings, L&TFH
Larsen and toubro lt, LT
Larsen & toubro ltd, LT
L&t technology serv, LTTS
L&t technology servi, LTTS
Larsen & toubro info, LTI
Lichousingfinanceltd, LICHSGFIN 
Mahindra and mahindr, M&M 
Mahindra logistics l, MAHLOG
Mahindra holidays &, MHRIL
Motherson sumi syste, MOTHERSUMI
Muthoot fin ltd, MUTHOOTFIN 
National aluminium c, NATIONALUM 
Nerolac, KANSAINER 
Oil and Natural Gas, ONGC
Power grid corporati, POWERGRID
Power grid corpPowergrid corporatio, POWERGRID 
Powergrid corp ltd, POWERGRID 
Prestige estates pro, PRESTIGE
Procter & gamble hyg, PGHH
Rajesh expo, RAJESHEXPO 
Rural eletrification, RECLTD
Sbi life insurance c, SBILIFE
Shriram transport fi, SRTRANSFIN 
Stfc, SRTRANSFIN 
Sun pharmaceutical i, SUNPHARMA
Talwalkars better va, TALWALKARS
Tatasteelfp, TATASTEEL
Tcl, TATACHEM 
Tcoffee, TATACOFFEE 
Tcook, THOMASCOOK
Tgbl, TATAGLOBAL
Tp hdfc std lifins, HDFCLIFE
Tpl, TATAPOWER
Tmotorsos f,  TATAMOTORS
The new india assura, NIACL
The indian hotels co, INDHOTEL 
Ti financial holding, TIFIN 
Tube investments of, TIINDIA
Ubl, UBL 
Usl, UNITDSPR
Venky's india ltd, VENKYS
Vguard industries l, VGUARD
Vst, VSTTILLERS
Zee entertainment en, ZEEL
Zee learn, ZEELEARN
