comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Balrampur chini mills,INE119A01028,3,2,1,33,02-Jan-2019,124,Buy,Micro Cap,157,769,389 %,7.26,131.55,13,1,26,17,6,6,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Nhpc,INE848E01016,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,24,113,370 %,(13.26),26.92,69,1,9,9,6,5,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Ashok leyland,INE208A01029,3,1,2,67,29-Oct-2018,189,Buy,Large Cap,90,377,318 %,(21.98),116.96,50,0,22,25,16,57,0,7, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Bse,INE118H01025,3,4,-1,-33,08-Oct-2018,210,Buy,Small Cap,634,1970,210 %,(24.50),818.30,52,0,14,16,5,30,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Nlc,INE589A01014,3,2,1,33,26-Oct-2018,192,Buy,Mid Cap,65,169,160 %,(24.31),89.97,102,1,15,17,9,7,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Indraprastha gas,INE203G01027,3,1,2,67,07-Sep-2018,241,Buy,Mid Cap,309,696,125 %,8.20,285.08,15,0,20,30,6,13,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Eveready industries,INE128A01029,3,3,0,0,09-Nov-2018,178,Buy,Micro Cap,109,230,111 %,(43.72),274.41,14,1,22,22,7,56,0,50, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
National aluminium co,INE139A01034,3,4,-1,-33,09-Nov-2018,178,Buy,Mid Cap,52,95,82 %,(28.34),73.61,76,0,6,10,7,5,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Pc jeweller,INE785M01013,3,4,-1,-33,09-Oct-2018,209,Buy,Mid Cap,110,200,81 %,25.11,106.47,8,0,17,25,19,14,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Crisil,INE007A01025,3,4,-1,-33,04-Apr-2018,397,Buy,Mid Cap,1442,2604,80 %,(23.27),1903.67,64,0,31,44,10,7,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Castrol,INE172A01027,3,4,-1,-33,09-Nov-2018,178,Buy,Mid Cap,150,255,70 %,(16.12),186.88,84,0,71,111,4,8,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Glenmark pharmaceuticals,INE935A01035,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,633,1075,69 %,3.67,613.85,7,1,23,18,13,5,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Kaveri seed company,INE455I01029,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,449,728,62 %,(14.41),549.33,6,0,18,19,2,10,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Mahindra mahindra,INE101A01026,3,4,-1,-33,05-Dec-2018,152,Buy,Large Cap,646,1038,60 %,(6.55),715.01,18,2,14,13,6,9,2,3, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Care ratings,INE752H01013,3,3,0,0,01-Feb-2018,459,Buy,Small Cap,984,1543,56 %,(32.59),1461.12,75,0,30,44,10,9,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Ambuja cements,INE079A01024,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,222,342,54 %,(9.75),248.30,17,0,8,14,23,14,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Acc,INE012A01025,3,5,-2,-67,09-Nov-2018,178,Buy,Mid Cap,1634,2527,54 %,(4.66),1684.45,40,0,11,14,6,7,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Eicher motors,INE066A01013,3,23,-20,-667,12-Mar-2019,55,Buy,Large Cap,20352,31106,52 %,(10.20),22863.59,17,0,36,53,7,45,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Pfizer,INE182A01018,3,2,1,33,19-Sep-2017,594,Buy,Mid Cap,3128,4745,51 %,73.31,1818.32,25,0,13,20,13,12,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Akzo nobel,INE133A01011,3,4,-1,-33,03-Jul-2018,307,Buy,Small Cap,1666,2511,50 %,(6.29),1872.99,73,0,24,31,5,27,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Hero motocorp,INE158A01026,3,7,-4,-133,03-Jul-2018,307,Buy,Large Cap,2565,3801,48 %,(28.66),3661.38,49,0,35,49,6,13,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Cadila healthcare,INE010B01027,3,2,1,33,03-Jul-2018,307,Buy,Large Cap,304,448,47 %,(24.47),436.29,20,1,27,20,13,22,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Vrl logistics,INE366I01010,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,265,388,46 %,(30.81),395.14,32,0,18,21,8,15,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Rallis,INE613A01020,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,146,204,39 %,(36.55),248.05,29,0,16,21,5,8,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Tata elxsi,INE670A01012,3,1,2,67,29-Oct-2018,189,Buy,Small Cap,874,1158,32 %,(6.38),993.14,28,0,39,60,18,51,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Motherson sumi systems,INE775A01035,3,3,0,0,06-Nov-2018,181,Buy,Large Cap,142,184,29 %,(27.29),204.72,24,1,24,23,17,31,1,4, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
