security_name, split_share, split_count
MENONBE ,  5:1 , 1
ARNOLD ,  10:2 , 1
PITTIENG ,  10:5 , 1
INDAG ,  10:2 , 1
TWL ,  10:2 , 1
RASIELEC ,  10:2 , 1
SMADL ,  10:5 , 1
KKALPANAIND ,  10:2 , 1
ELPROINTL ,  10:2 , 1
ROLLT ,  10:2 , 1
SRDL ,  10:1 , 1
FCL ,  10:2 , 1
ASISL ,  100:1 , 1
JMTAUTOLTD ,  10:2 , 1
BCPAL ,  10:1 , 1
HIGHGROUND ,  10:1 , 1
KAUSAMBI ,  10:1 , 1
SIGNETIND ,  10:1 , 1
ITDCEM ,  10:1 , 1
KUSHAL ,  10:2 , 1
AEGISLOG ,  10:1 , 1
URJAGLOBA ,  10:1 , 1
SAMTEX ,  10:2 , 1
ALANKIT ,  10:2 , 1
TOYAMIND ,  10:1 , 1
CADILAHC ,  5:1 , 1
BATAINDIA ,  10:5 , 1
LAMBODHARA ,  10:5 , 1
MUDUNURU ,  10:2 , 1
SARLAPOLY ,  10:1 , 1
DILIGENT ,  10:5 , 1
KESARPE ,  10:1 , 1
MAHAVIRIND ,  10:5 , 1
SHILPAMED ,  2:1 , 1
ASIIL ,  5:1 , 1
AVANTI ,  10:2 , 1
NATCOPHARM ,  10:2 , 1
VITANAGRO ,  10:1 , 1
SHARPINV ,  10:1 , 1
VIVIDIND ,  10:5 , 1
JAMNAAUTO ,  10:5 , 1
JKIL ,  10:5 , 1
KHOOBSURAT ,  10:1 , 1
JACKSON ,  10:1 , 1
CITIZYN ,  10:5 , 1
NOBPOL ,  10:5 , 1
SETCO ,  10:2 , 1
SMSPHARMA ,  10:1 , 1
INDTERRAIN ,  10:2 , 1
MFLINDIA ,  10:1 , 1
CHAMANSEQ ,  10:2 , 1
GREENPLY ,  5:1 , 1
STAMPEDE ,  10:1 , 1
MOLDTEK ,  10:2 , 1
MOLDTKPAC ,  10:5 , 1
VEGETABLE ,  10:1 , 1
BHANDHOS ,  10:1 , 1
SEQUENT ,  10:2 , 1
PRAKASHSTL ,  10:1 , 1
RAMASTEEL ,  10:5 , 1
TIDEWATER ,  10:5 , 1
PRECWIRE ,  10:5 , 1
WELSPUNIND ,  10:1 , 1
SYNTHFO ,  10:5 , 1
