security_name, dividend_amount, dividend_count
SKFINDIA , 2.5 , 1
KBIL , 20.0 , 1
PAPERPROD , 2.8 , 1
STOVAC , 15.5 , 1
ELANTAS , 4.5 , 1
VESUVIUS , 6.0 , 1
ABB , 3.7 , 1
BOCINDIA , 1.5 , 1
GMBREW , 2.5 , 1
SBT , 5.0 , 1
ATISHAY , 0.6 , 1
YESBANK , 9.0 , 1
RELIANCEINF , 3.5 , 1
RAYMOND , 3.0 , 1
FEDERALBNK , 2.2 , 1
SBIN , 3.5 , 1
ITC , 6.2 , 1
ELFTRDG , 2.0 , 1
ICICIBANK , 5.0 , 1
ORIENTBANK , 3.3 , 1
POLARIS , 10.0 , 1
GOODYEAR , 10.0 , 1
VIDEOIND , 2.0 , 1
RALLIS , 1.5 , 1
VIJAYABANK , 1.5 , 1
BANKBARODA , 3.2 , 1
GRUH , 2.0 , 1
ASHOKLEY , 0.5 , 1
DIANATEA , 0.2 , 1
LAKSHVILAS , 2.0 , 1
ALBK , 1.6 , 1
ATUL , 8.5 , 1
DENABANK , 0.9 , 1
DENORA , 1.5 , 1
KOTAKBANK , 0.9 , 1
SFCL , 1.0 , 1
SYNDIBANK , 4.7 , 1
UNIONBANK , 6.0 , 1
WELSPUNGUJR , 0.5 , 1
BIRLACORPN , 6.0 , 1
ESSELPRO , 1.6 , 1
FAIRCHEM , 2.5 , 1
MAHABANK , 0.8 , 1
PSB , 0.6 , 1
CORPBANK , 1.4 , 1
PNB , 3.3 , 1
VASINFRA , 0.7 , 1
WIDIA , 2.0 , 1
CENTRALBK , 0.5 , 1
INDIANB , 4.2 , 1
UCOBANK , 2.0 , 1
CANFINHOME , 7.0 , 1
CANBK , 10.5 , 1
KANSAINER , 1.4 , 1
BLUESTINFO , 4.0 , 1
ELNET , 1.4 , 1
GOACARBON , 1.0 , 1
ANDHRABANK , 2.0 , 1
CENTENKA , 6.0 , 1
HDFCBANK , 8.0 , 1
LEEL , 1.3 , 1
M&MFIN , 4.0 , 1
RISHIROOP , 0.8 , 1
RSSOFTWARE , 1.2 , 1
SOBHA , 7.0 , 1
PFIZER , 12.5 , 1
JSWSTEEL , 11.0 , 1
HONAUT , 12.5 , 1
SOUTHBANK , 0.6 , 1
CAIRN , 4.0 , 1
GREENPLY , 3.0 , 1
KTKBANK , 5.0 , 1
MBLINFRA , 3.0 , 1
21STCENMGM , 2.0 , 1
AXISBANK , 4.6 , 1
BHARATSE , 0.9 , 1
BNRSEC , 1.5 , 1
ECLERX , 35.0 , 1
GICHSGFIN , 5.0 , 1
JETKING , 1.0 , 1
MONEYMATF , 1.5 , 1
