security_name, total_score, bonus_score, buyback_score, dividend_score
ALLCARGO,3,1,0,2
AMNPLST,3,1,0,2
ANUHPHR,3,1,0,2
AUROPHARMA,3,1,0,2
BEL,3,1,0,2
BOROSIL,3,0,1,2
CONTROLP,3,1,0,2
DAMOTH,3,1,0,2
DHFL,3,1,0,2
DIVISLAB,3,1,0,2
INSECTICID,3,1,0,2
KOTHARIPRO,3,1,0,2
MAITHANALL,3,1,0,2
MARICO,3,1,0,2
MINDTREE,3,1,0,2
MOTHERSUMI,3,1,0,2
RUBYMILLS,3,1,0,2
SASKEN,3,0,1,2
TIIL,3,0,1,2
VIVIDHA,3,2,0,1
AARTIDRUGS,2,0,0,2
AARTIIND,2,0,0,2
ACC,2,0,0,2
ACE,2,0,0,2
ACGL,2,0,0,2
ADANIENT,2,0,0,2
ADANIPORTS,2,0,0,2
ADVANIHOTR,2,0,0,2
AEGISLOG,2,0,0,2
AIAENG,2,0,0,2
AJANTPHARM,2,0,0,2
ALANKIT,2,0,0,2
ALBERTDA,2,0,0,2
ALKYLAMINE,2,0,0,2
ALPINEHOU,2,1,0,1
AMARAJABAT,2,0,0,2
AMBIKCO,2,0,0,2
AMBUJACEM,2,0,0,2
AMRTCORP,2,0,0,2
AMRUTANJAN,2,0,0,2
ANDHRSUGAR,2,0,0,2
APARINDS,2,0,0,2
APCOTEXIND,2,1,0,1
APMIN,2,0,0,2
APOLLOHOSP,2,0,0,2
APTECHT,2,0,0,2
ARIHCAPM,2,0,0,2
ARROWGREEN,2,0,0,2
ASAHISONG,2,0,0,2
ASALCBR,2,1,0,1
ASHIANA,2,0,0,2
ASHOKA,2,0,0,2
ASMTEC,2,0,0,2
ASTRAL,2,0,0,2
AUDICH,2,0,0,2
AVTNPL,2,0,0,2
BAJAJ-AUTO,2,0,0,2
BAJAJELEC,2,0,0,2
BAJAJFINSV,2,0,0,2
BAJAJHLDNG,2,0,0,2
BAJFINANCE,2,0,0,2
BALAJITELE,2,0,0,2
BALKRISIND,2,0,0,2
BANARBEADS,2,0,0,2
BANCOINDIA,2,0,0,2
BAYERCROP,2,0,1,1
BENGALASM,2,0,0,2
BERGEPAINT,2,0,0,2
BHARATFORG,2,0,0,2
BIOCON,2,0,0,2
BLUESTARCO,2,0,0,2
BODALCHEM,2,0,0,2
BPCL,2,0,0,2
BRIGADE,2,0,0,2
CADILAHC,2,0,0,2
CAPPL,2,0,0,2
CARBORUNIV,2,0,0,2
CARERATING,2,0,0,2
CCL,2,0,0,2
CEATLTD,2,0,0,2
CENTUM,2,0,0,2
CENTURYPLY,2,0,0,2
CESC,2,0,0,2
CHAMANSE,2,0,0,2
CHEMBOND,2,0,0,2
CHEVIOT,2,0,0,2
CHOLAINV,2,0,0,2
COASTCORP,2,1,0,1
COLPAL,2,1,0,1
COMPUAGE,2,1,0,1
CONCOR,2,0,0,2
COSMOFILMS,2,0,0,2
CPL,2,1,0,1
CRISIL,2,0,0,2
CUB,2,0,0,2
CUMMINSIND,2,0,0,2
CUPID,2,0,0,2
CYIENT,2,0,0,2
DAICHI,2,0,0,2
DALMIABHA,2,0,0,2
DATAMATICS,2,0,0,2
DBCORP,2,0,0,2
DCMSHRIRAM,2,0,0,2
DECCANCE,2,0,0,2
DEEPAKFERT,2,0,0,2
DENISON,2,0,0,2
DHANUKA,2,0,0,2
DISHMAN,2,0,0,2
DLF,2,0,0,2
EASTRED,2,0,0,2
ECLERX,2,1,0,1
ECOPLAST,2,0,0,2
EDELWEISS,2,0,0,2
EIHAHOTELS,2,0,0,2
EIHOTEL,2,0,0,2
ELCIDIN,2,0,0,2
ELDEHSG,2,0,0,2
ELEMARB,2,0,0,2
ELIXIR,2,0,0,2
EMPIND,2,0,0,2
ENGINERSIN,2,0,0,2
FAIRDSY,2,1,0,1
FCL,2,0,0,2
FDC,2,0,0,2
FEDERALBNK,2,1,0,1
FIEMIND,2,0,0,2
FORCEMOT,2,0,0,2
GAIL,2,0,0,2
GALLISPAT,2,0,0,2
GDL,2,0,0,2
GEECEE,2,0,0,2
GEOJITFSL,2,0,0,2
GEOMETRIC,2,0,0,2
GESHIP,2,0,0,2
GINISILK,2,0,0,2
GMM,2,0,0,2
GODREJCP,2,0,0,2
GODREJIND,2,0,0,2
GOLCRSFI,2,0,0,2
GOLDIAM,2,0,0,2
