security_name, split_count, bonus_count, buyback_count, dividend_count, total_count
21STCENMGM , - , - , - , 1 , 1
AAIL , - , - , - , 1 , 1
ABAN , - , - , - , 1 , 1
ABANSENT , - , 1 , - , - , 1
ABB , - , - , - , 1 , 1
ABBOTINDIA , - , - , - , 1 , 1
ABCBEARS , - , - , - , 1 , 1
ABIRLANUVO , - , - , - , 1 , 1
ABMKNO , - , - , - , 1 , 1
ACRYSIL , - , - , - , 1 , 1
ADFFOODS , - , - , - , 1 , 1
ADMANUM , - , - , - , 1 , 1
ADORFO , - , - , - , 1 , 1
ADORWELD , - , - , - , 1 , 1
AHLEAST , - , - , - , 1 , 1
AHLWEST , - , - , - , 1 , 1
AIFL , - , - , - , 1 , 1
AKCAPIT , - , - , - , 1 , 1
AKZOINDIA , - , - , - , 1 , 1
ALBK , - , - , - , 1 , 1
ALEMBICLTD , - , - , - , 1 , 1
ALFREDHE , - , - , - , 1 , 1
ALICON , - , - , - , 1 , 1
ALKALI , - , - , - , 1 , 1
ALKEM , - , - , - , 1 , 1
ALPHAGEO , - , - , - , 1 , 1
AMARJOTHI , - , - , - , 1 , 1
AMDIND , - , - , - , 1 , 1
AMJLAND , - , - , - , 1 , 1
ANANTRAJ , - , - , - , 1 , 1
ANDHRABANK , - , - , - , 1 , 1
ANDREWYU , - , - , - , 1 , 1
ANILPROD , - , - , - , 1 , 1
ANSALBU , - , - , - , 1 , 1
ANSALHSG , - , - , - , 1 , 1
ANTARIKSH , - , 1 , - , - , 1
APLAPOLLO , - , - , - , 1 , 1
APLLTD , - , - , - , 1 , 1
APOLLOTYRE , - , - , - , 1 , 1
ARCHIES , - , - , - , 1 , 1
ARCOTECH , - , - , - , 1 , 1
AREXMIS , - , - , - , 1 , 1
ARFIN , - , - , - , 1 , 1
ARIES , - , - , - , 1 , 1
ARMANFIN , - , - , - , 1 , 1
AROGRANITE , - , - , - , 1 , 1
ARVIND , - , - , - , 1 , 1
ASHCAP , - , - , - , 1 , 1
ASHOKALC , - , - , - , 1 , 1
ASHOKLEY , - , - , - , 1 , 1
ASISL , 1 , - , - , - , 1
ASL , - , - , - , 1 , 1
ASTAR , - , - , - , 1 , 1
ASTEC , - , - , - , 1 , 1
ASTRAMICRO , - , - , - , 1 , 1
ATFL , - , - , - , 1 , 1
ATHARVENT , - , 1 , - , - , 1
ATISHAY , - , - , - , 1 , 1
ATLANTA , - , - , - , 1 , 1
ATREYA , - , 1 , - , - , 1
ATUL , - , - , - , 1 , 1
AURIONPRO , - , - , - , 1 , 1
AUSTENG-B , - , - , - , 1 , 1
AUTOAXLES , - , - , - , 1 , 1
AVANTEL , - , - , - , 1 , 1
AXISBANK , - , - , - , 1 , 1
BAJAJCORP , - , - , - , 1 , 1
BAJAJST , - , - , - , 1 , 1
BALAMINES , - , - , - , 1 , 1
BALASORE , - , - , - , 1 , 1
BALLARPUR , - , - , - , 1 , 1
BALMLAWRIE , - , - , - , 1 , 1
BALPHARMA , - , - , - , 1 , 1
BAMBINO , - , - , - , 1 , 1
BANARISUG , - , - , - , 1 , 1
BANKBARODA , - , - , - , 1 , 1
BANKINDIA , - , - , - , 1 , 1
BANSWRAS , - , - , - , 1 , 1
BAPACK , - , - , - , 1 , 1
BASF , - , - , - , 1 , 1
BASML , - , - , - , 1 , 1
BBARODA , - , - , - , 1 , 1
BBREALTY , - , - , - , 1 , 1
BBTC , - , - , - , 1 , 1
BCLIL , - , - , - , 1 , 1
BCPAL , 1 , - , - , - , 1
BEARDSELL , - , - , - , 1 , 1
BEEKAY , - , - , - , 1 , 1
BEML , - , - , - , 1 , 1
BENARAS , - , - , - , 1 , 1
BENGALT , - , - , - , 1 , 1
BEPL , - , - , - , 1 , 1
