ticker, comp_name, isin, weight_units, rank, captype, mcap
3MINDIA, 3m, INE470A01017, 2, 107, Mid Cap, 25480
ABB, Abb, INE117A01022, 10, 98, Large Cap, 29154
ABBOTINDIA, Abbott, INE358A01014, 10, 163, Mid Cap, 16441
ABFRL, Aditya birla fashion retai, INE647O01011, 5, 162, Mid Cap, 16456
ACC, Acc, INE012A01025, 10, 100, Large Cap, 28919
ADANIENT, Adani enterprises, INE423A01024, 5, 169, Mid Cap, 15425
ADANIGAS, Adani gas, INE399L01023, 1, 182, Mid Cap, 13672
ADANIPORTS, Adani ports special econom, INE742F01042, 2, 36, Large Cap, 78098
AEGISCHEM, Aegis logistics, INE208C01025, 1, 282, Small Cap, 6806
ALLCARGO, Allcargo logistics, INE418H01029, 1, 475, Small Cap, 2651
AMARAJABAT, Amara raja batteries, INE885A01032, 1, 195, Mid Cap, 11887
AMBUJACEM, Ambuja cements, INE079A01024, 20, 66, Large Cap, 43501
APOLLOHOSP, Apollo hospitals enterprise lt, INE437A01024, 5, 153, Mid Cap, 17239
APOLLOTYRE, Apollo tyres, INE438A01022, 10, 196, Mid Cap, 11877
ARVINDFASN, Arvind fashions, INE955V01021, 1, 329, Small Cap, 5044
ASAHIINDIA, Asahi glass, INE439A01020, 5, 308, Small Cap, 5974
ASHOKLEY, Ashok leyland, INE208A01029, 2, 104, Mid Cap, 25970
ASIANPAINT, Asian paints, INE021A01026, 20, 21, Large Cap, 135448
ASIANTILES, Asian granito, INE022I01019, 1, 902, Nano Cap, 609
ASTRAZEN, Astrazeneca pharma, INE203A01020, 2, 339, Small Cap, 4807
AUROPHARMA, Aurobindo pharma, INE406A01037, 2, 69, Large Cap, 42921
AVANTIFEED, Avanti feeds, INE871C01038, 5, 332, Small Cap, 5006
AXISBANK, Axis bank, INE238A01034, 2, 14, Large Cap, 189552
BAJAJ-AUTO, Bajaj auto, INE917I01010, 10, 32, Large Cap, 83342
BAJAJFINSV, Bajaj finserv, INE918I01018, 5, 23, Large Cap, 113633
BAJAJHLDNG, Bajaj holdings investment lt, INE118A01012, 5, 76, Large Cap, 36110
BAJFINANCE, Bajaj finance, INE296A01024, 5, 15, Large Cap, 171306
BALKRISIND, Balkrishna industries, INE787D01026, 1, 161, Mid Cap, 16648
BALRAMCHIN, Balrampur chini mills, INE119A01028, 2, 446, Small Cap, 3009
BANDHANBNK, Bandhan bank, INE545U01014, 2, 46, Large Cap, 61887
BANKBARODA, Bankbaroda, INE028A01039, 1, 79, Large Cap, 35432
BASF, Basf, INE373A01013, 2, 309, Small Cap, 5938
BATAINDIA, Bata, INE176A01028, 2, 157, Mid Cap, 16881
BAYERCROP, Bayer cropscience, INE462A01022, 5, 176, Mid Cap, 14128
BDL, Bharat dynamics, INE171Z01018, 1, 326, Small Cap, 5169
BEL, Bharat electronics, INE263A01024, 2, 119, Mid Cap, 22663
BERGEPAINT, Berger paints, INE463A01038, 5, 93, Large Cap, 30580
BHARTIARTL, Bharti airtel, INE397D01024, 10, 18, Large Cap, 146497
BHEL, Bharat heavy electricals, INE257A01026, 2, 113, Mid Cap, 24098
BIOCON, Biocon, INE376G01013, 1, 78, Large Cap, 35643
BLUEDART, Blue dart express, INE233B01017, 2, 273, Small Cap, 7302
BLUESTARCO, Blue star, INE472A01039, 2, 290, Small Cap, 6535
BOROSIL, Borosil glass works, INE666D01022, 1, 554, Micro Cap, 1917
BOSCHLTD, Bosch, INE323A01026, 10, 52, Large Cap, 54100
BPCL, Bharat petroleum corporation l, INE029A01011, 5, 34, Large Cap, 79498
BRIGADE, Brigade enterprises, INE791I01019, 1, 439, Small Cap, 3103
BRITANNIA, Britannia industries, INE216A01030, 10, 40, Large Cap, 71867
BSE, Bse, INE118H01025, 2, 437, Small Cap, 3117
CADILAHC, Cadila healthcare, INE010B01027, 5, 88, Large Cap, 31495
CARBORUNIV, Carborundum universal, INE120A01034, 2, 280, Small Cap, 6886
CARERATING, Care ratings, INE752H01013, 5, 458, Small Cap, 2870
CASTROLIND, Castrol, INE172A01027, 2, 172, Mid Cap, 15215
CDSL, Central depository services, INE736A01011, 2, 501, Micro Cap, 2366
CEATLTD, Ceat, INE482A01020, 2, 355, Small Cap, 4383
CENTURYPLY, Century plyboards, INE348B01021, 5, 387, Small Cap, 3903
CERA, Cera sanitaryware, INE739E01017, 2, 412, Small Cap, 3497
CHOLAFIN, Cholamandalam investment f, INE121A01024, 2, 131, Mid Cap, 20838
CHOLAHLDNG, Cholamandalam financial holdin, INE149A01033, 2, 245, Mid Cap, 9027
CIPLA, Cipla, INE059A01026, 2, 65, Large Cap, 43524
COALINDIA, Coal, INE522F01014, 2, 17, Large Cap, 148333
COFFEEDAY, Coffee day enterprises, INE335K01011, 1, 319, Small Cap, 5586
COLPAL, Colgate palmolive, INE259A01022, 5, 85, Large Cap, 33405
CONCOR, Container corporation, INE111A01025, 2, 90, Large Cap, 31389
COROMANDEL, Coromandel international, INE169A01031, 5, 187, Mid Cap, 12940
COX&KINGS, Cox kings, INE008I01026, 2, 512, Micro Cap, 2266
CRISIL, Crisil, INE007A01025, 10, 203, Mid Cap, 10915
CROMPTON, Crompton greaves consumer elec, INE299U01018, 1, 178, Mid Cap, 14076
CUMMINSIND, Cummins, INE298A01020, 1, 130, Mid Cap, 20934
DABUR, Dabur, INE016A01026, 5, 39, Large Cap, 72898
DCMSHRIRAM, Dcm shriram, INE499A01024, 1, 278, Small Cap, 7002
DELTACORP, Delta corp, INE124G01033, 2, 300, Small Cap, 6199
DHFL, Dewan housing finance corporat, INE202B01012, 1, 354, Small Cap, 4387
DISHTV, Dish tv, INE836F01026, 2, 301, Small Cap, 6198
DLF, Dlf, INE271C01023, 5, 80, Large Cap, 35019
DMART, Avenue supermarts, INE192R01011, 10, 31, Large Cap, 87494
DRREDDY, Drreddys laboratories, INE089A01023, 5, 64, Large Cap, 44660
EICHERMOT, Eicher motors, INE066A01013, 2, 50, Large Cap, 55972
EIDPARRY, Eid parry, INE126A01031, 5, 413, Small Cap, 3459
EIHOTEL, Eih, INE230A01023, 2, 209, Mid Cap, 10644
EMAMILTD, Emami, INE548C01032, 1, 150, Mid Cap, 17383
ENDURANCE, Endurance technologies, INE913H01037, 2, 160, Mid Cap, 16671
ENGINERSIN, Engineers, INE510A01028, 1, 274, Small Cap, 7300
ENIL, Entertainment network, INE265F01028, 1, 490, Small Cap, 2463
ESSELPACK, Essel propack, INE255A01020, 5, 393, Small Cap, 3784
EVEREADY, Eveready industries, INE128A01029, 1, 694, Micro Cap, 1160
EXIDEIND, Exide industries, INE302A01020, 2, 138, Mid Cap, 18783
FLFL, Future lifestyle fashions, INE452O01016, 2, 253, Small Cap, 8695
FORTIS, Fortis healthcare, INE061F01013, 2, 223, Mid Cap, 9932
FRETAIL, Future retail, INE752P01024, 2, 125, Mid Cap, 22211
FSC, Future supply chain solutions, INE935Q01015, 1, 494, Small Cap, 2441
GAIL, Gail, INE129A01019, 5, 37, Large Cap, 76099
GICRE, General insurance corporation, INE481Y01014, 10, 70, Large Cap, 41711
GILLETTE, Gillette, INE322A01010, 5, 123, Mid Cap, 22338
GLAXO, Glaxosmithkline pharmaceutical, INE159A01016, 1, 122, Mid Cap, 22457
