Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
3MIND,3M INDIA LIMITED,INE470A01017,1,19143.22,19700.00,- 0.77,19143.22,19700.00,153.15,12863.21,(1196.23),556.78,2.91,
ABB,ABB INDIA LIMITED,INE117A01022,5,1216.55,1401.20,+ 0.71,6082.75,7006.00,-49.25,-14225.38,(262.11),923.25,15.18,
ABBIND,ABBOTT INDIA LIMITED,INE358A01014,1,4130.35,14493.95,- 0.26,4130.35,14493.95,37.40,38753.88,0.00,10363.60,250.91,
ACC,ACC LIMITED,INE012A01025,7,1579.77,1622.10,- 1.07,11058.39,11354.70,123.20,9216.48,(691.30),296.31,2.68,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,23,142.25,513.30,+ 0.17,3271.75,11805.90,-19.55,-60388.24,0.00,8534.15,260.84,
ADAGAS,ADANI TOTAL GAS LIMITED,INE399L01023,17,72.00,379.00,- 0.37,1224.00,6443.00,23.80,27071.43,0.00,5219.00,426.39,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,6,380.72,523.30,+ 0.90,2284.32,3139.80,-27.90,-11253.76,0.00,855.48,37.45,
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,9,239.17,283.15,- 0.14,2152.53,2548.35,3.60,70787.50,0.00,395.82,18.39,
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,50,104.28,130.75,+ 0.15,5214.00,6537.50,-10.00,-65375.00,0.00,1323.50,25.38,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,18,575.73,962.75,+ 0.64,10363.14,17329.50,-109.80,-15782.79,0.00,6966.36,67.22,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,59,202.63,248.15,- 1.84,11955.17,14640.85,274.35,5336.56,115.32,2685.68,22.46,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,7,1211.95,2623.10,+ 0.91,8483.65,18361.70,-165.55,-11091.33,0.00,9878.05,116.44,
APOTYR,APOLLO TYRES LTD,INE438A01022,129,134.66,204.50,+ 1.34,17371.14,26380.50,-348.30,-7574.07,0.00,9009.36,51.86,
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,11,308.53,144.25,- 0.17,3393.83,1586.75,2.75,57700.00,0.00,-1807.08,(53.25),
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,22,236.42,261.95,- 1.21,5201.24,5762.90,70.40,8185.94,(1346.15),561.66,10.80,
