security_name, dividend_amount, dividend_count
20MICRONS , 0.4 , 1
63MOONS , 2.0 , 1
8KMILES , 1.0 , 1
AINFRA , 0.5 , 1
AKCAPIT , 6.0 , 1
AARTIDRUGS , 1.0 , 1
AARTIIND , 1.0 , 1
ABB , 4.0 , 1
ABBOTINDIA , 40.0 , 1
ABCBEARS , 2.0 , 1
ABHIJIT , 0.8 , 1
ABIRAFN , 0.3 , 1
ABMKNO , 1.2 , 1
ACC , 11.0 , 1
ACKNIT , 1.5 , 1
ACRYSIL , 5.0 , 1
ACE , 0.3 , 1
ADANIENT , 0.4 , 1
ADANIPORTS , 1.3 , 1
KRONE , 3.0 , 1
ADFFOODS , 2.5 , 1
ADORFO , 3.0 , 1
ADORWELD , 5.0 , 1
ADROITINFO , 0.5 , 1
ASYL , 0.2 , 1
ADVENZYMES , 0.4 , 1
ADVANIHOTR , 0.5 , 1
BBARODA , 1.5 , 1
ATFL , 2.0 , 1
AHMDSTE , 0.5 , 1
AIAENG , 4.0 , 1
SHRPREC , 3.0 , 1
AAIL , 1.1 , 1
AKZOINDIA , 22.0 , 1
ALBERTDA , 5.5 , 1
ALEMBICLTD , 0.2 , 1
APLLTD , 4.0 , 1
ALFREDHE , 2.0 , 1
ALKALI , 0.5 , 1
ALKYLAMINE , 5.0 , 1
ALLCARGO , 2.0 , 1
ALPHAGEO , 4.0 , 1
ALPINEHOU , 0.5 , 1
AMARJOTHI , 2.0 , 1
AEL , 0.1 , 1
AMBIKCO , 10.0 , 1
AMBUJACEM , 1.6 , 1
AMNPLST , 0.3 , 1
AMJLAND , 0.2 , 1
AMRTCORP , 7.5 , 1
ANANTRAJ , 0.2 , 1
ANDHRSUGAR , 10.0 , 1
ANDREWYU , 0.1 , 1
APCL , 1.0 , 1
ANUHPHR , 2.5 , 1
APARINDS , 10.0 , 1
APCOTEXIND , 4.5 , 1
APLAPOLLO , 12.0 , 1
APMIN , 0.5 , 1
APOLLOHOSP , 6.0 , 1
APOLLOTYRE , 3.0 , 1
APTECHT , 3.0 , 1
ARCOTECH , 0.3 , 1
AREXMIS , 2.0 , 1
ARFIN , 2.0 , 1
ARIES , 2.0 , 1
ARIHCAPM , 0.8 , 1
ASL , 1.0 , 1
AROGRANITE , 1.0 , 1
ARROWTEX , 1.5 , 1
ARVIND , 2.4 , 1
ASAHIINDIA , 1.0 , 1
AIFL , 0.5 , 1
ASHIANA , 0.2 , 1
ASHCAP , 0.0 , 1
ASHOKALC , 1.0 , 1
ASHOKLEY , 1.6 , 1
ASIIL , 0.3 , 1
ASIANTILES , 0.8 , 1
AHLEAST , 2.0 , 1
AHLWEST , 1.0 , 1
ASTAR , 1.5 , 1
ASALCBR , 1.0 , 1
ASTEC , 1.5 , 1
ASTRAMICRO , 1.0 , 1
ATLANTA , 0.3 , 1
ATUL , 10.0 , 1
AURIONPRO , 1.0 , 1
AUTOAXLES , 8.0 , 1
AVANTEL , 2.0 , 1
AVANTI , 9.0 , 1
AXISBANK , 5.0 , 1
BBREALTY , 3.0 , 1
BAPACK , 0.5 , 1
BNRSEC , 1.0 , 1
BAJAJ-AUTO , 55.0 , 1
BAJAJCORP , 12.0 , 1
BAJAJELEC , 2.8 , 1
BAJFINANCE , 3.6 , 1
BAJAJFINSV , 1.8 , 1
BAJAJHLDNG , 32.5 , 1
BALPHARMA , 1.0 , 1
BALAMINES , 2.2 , 1
BALAJITELE , 0.4 , 1
BALASORE , 0.8 , 1
BALMLAWRIE , 7.0 , 1
BLIL , 17.0 , 1
BALRAMCHIN , 2.5 , 1
BAMBINO , 1.6 , 1
BANARBEADS , 1.0 , 1
BANKBARODA , 1.2 , 1
BASML , 1.8 , 1
BANARISUG , 12.5 , 1
BANSWRAS , 1.0 , 1
BASANTGL , 0.1 , 1
BASF , 1.0 , 1
BATAINDIA , 3.5 , 1
BAYERCROP , 17.0 , 1
BCLIL , 1.0 , 1
BDH , 2.0 , 1
BEARDSELL , 0.2 , 1
BEEKAY , 1.0 , 1
BEML , 8.0 , 1
BENARAS , 15.0 , 1
BENGALASM , 10.0 , 1
BERGEPAINT , 1.8 , 1
BFLAFL , 0.5 , 1
BHAGIL , 5.0 , 1
BGWTATO , 0.8 , 1
BEPL , 0.2 , 1
BHARAT , 0.5 , 1
BHARATRAS , 1.5 , 1
BRNL , 0.5 , 1
BHARATSE , 0.9 , 1
INFRATEL , 4.0 , 1
BIL , 1.2 , 1
BIGBLOC , 0.2 , 1
BIMETAL , 7.5 , 1
BIOCON , 1.0 , 1
BIRLACORPN , 6.5 , 1
BKMINDST , 0.2 , 1
BLACKROSE , 0.1 , 1
BLISSGVS , 0.6 , 1
BLS , 0.3 , 1
BLUECHIPT , 1.5 , 1
BLUEDART , 15.0 , 1
BLUESTARCO , 7.5 , 1
BNKCAP , 1.5 , 1
BNRUDY , 0.7 , 1
BODALCHEM , 0.5 , 1
BODHTREE , 0.5 , 1
BBTC , 1.0 , 1
BOMBCYC , 4.0 , 1
BOMDYEING , 0.7 , 1
BOMOXY-B1 , 20.0 , 1
BOROSIL , 25.0 , 1
BOSCHLTD , 90.0 , 1
BRAWN , 1.5 , 1
BRIGHTBR , 2.0 , 1
BRITANNIA , 22.0 , 1
BSL , 1.2 , 1
CAIRN , 17.7 , 1
CANFINHOME , 10.0 , 1
CANBK , 1.0 , 1
FCH , 2.6 , 1
CTL , 0.1 , 1
CAPITALT , 1.5 , 1
CAPPL , 1.5 , 1
MONEYMATF , 0.3 , 1
CAPRIHANS , 1.5 , 1
CPL , 0.2 , 1
CARNATIN , 0.4 , 1
CATVISION , 1.0 , 1
CCL , 2.5 , 1
CEATLTD , 11.5 , 1
CEEJAY , 1.5 , 1
CEINSYSTECH , 1.2 , 1
CENTENKA , 7.0 , 1
CENTURYPLY , 1.0 , 1
CENTURYTEX , 5.5 , 1
CERA , 12.0 , 1
CESC , 12.0 , 1
CGVAK , 0.5 , 1
CHAMANSE , 0.4 , 1
CHAMBLFERT , 1.9 , 1
CHDCHEM , 0.1 , 1
CHDDLTD , 0.1 , 1
CHEMBOND , 1.6 , 1
CHEMCRUX , 0.2 , 1
CHENNPETRO , 21.0 , 1
CHEVIOT , 1.0 , 1
CHOKSI , 0.8 , 1
CILSEC , 0.5 , 1
CINELINE , 0.5 , 1
CIPLA , 2.0 , 1
CITADEL , 1.0 , 1
CUB , 0.3 , 1
CLNINDIA , 25.0 , 1
CLARIS , 2.0 , 1
CMI , 1.0 , 1
COALINDIA , 16.5 , 1
COASTCORP , 1.5 , 1
COMCL , 0.2 , 1
COMFINCAP , 0.2 , 1
COMFINTE , 0.0 , 1
COMPEAU , 1.0 , 1
COMPUAGE , 0.4 , 1
COMPUSOFT , 0.1 , 1
CONFIPET , 0.1 , 1
CORALFINAC , 0.2 , 1
CORALAB , 5.0 , 1
COSMOFILMS , 10.0 , 1
COSYN , 1.0 , 1
COX&KINGS , 1.0 , 1
CREST , 0.5 , 1
CROMPTON , 1.5 , 1
CSLFINANCE , 1.0 , 1
CYBERTECH , 1.0 , 1
DAICHI , 3.0 , 1
DALMIABHA , 2.2 , 1
DALMIACEM , 2.0 , 1
DAMOTH , 2.8 , 1
DCBBANK , 0.5 , 1
DCMSRMIND , 6.5 , 1
DENORA , 2.0 , 1
DECCANCE , 6.0 , 1
DEEPIND , 1.8 , 1
DEEPAKFERT , 6.0 , 1
DEEPAKNI , 1.2 , 1
DELTACORP , 0.3 , 1
DFM , 5.0 , 1
DHPIND , 2.0 , 1
DHUNINV , 1.5 , 1
DPL , 2.0 , 1
DHUNTEAIND , 8.0 , 1
