security_name, buyback_share, buyback_count
OIL , - , 1
SKFINDIA , - , 1
VYAPAR , - , 1
TCS , - , 1
MARATHON , - , 1
HCLTECH , - , 1
INDGELA , - , 1
JBCHEPHARM , - , 1
RGL , - , 1
CHEVIOT , - , 1
KSCL , - , 1
TTKPRESTIG , - , 1
ENGINERSIN , - , 1
NUCLEUS , - , 1
SKPSEC , - , 1
MINDTREE , - , 1
AMFORG , - , 1
BAYERCROP , - , 1
SOBHA , - , 1
SHERVANI , - , 1
VINATIORGA , - , 1
WIPRO , - , 1
BABA , - , 1
INFY , - , 1
JENBURPH , - , 1
DANLAW , - , 1
MAYURUNIQ , - , 1
LOVABLE , - , 1
NOVARTIND , - , 1
TULIVE , - , 1
FRONTSEC , - , 1
ZSARACOM , - , 1
AARTIIND , - , 1
SWARAJENG , - , 1
TIIL , - , 1
SJVN , - , 1
AARTIDRUGS , - , 1
JAMESWARREN , - , 1
ORBTEXP , - , 1
ELEMARB , - , 1
ECLERX , - , 1
BEL , - , 1
GANDHITUBE , - , 1
SOTL , - , 1
PIDILITIND , - , 1
UNICHEMLAB , - , 1
MOIL , - , 1
FDC , - , 1
BALRAMCHIN , - , 1
KPRMILL , - , 1
ALEMBICLTD , - , 1
PAUSHAKLTD , - , 1
