security_name, split_share, split_count
BLS ,  10:1 , 1
DANUBE ,  10:1 , 1
BEARDSELL ,  10:2 , 1
MANCREDIT ,  10:1 , 1
ADVENZYMES ,  10:2 , 1
HINDCOMPOS ,  10:5 , 1
ARCOTECH ,  10:2 , 1
NAVINFLUOR ,  10:2 , 1
SUNTECK ,  2:1 , 1
SAIBABA ,  10:1 , 1
CORALFINAC ,  10:2 , 1
DWARKESH ,  10:1 , 1
OROSMITHS ,  5:1 , 1
INFIBEAM ,  10:1 , 1
DECCANCE ,  10:5 , 1
BOROSIL ,  10:1 , 1
NESCO ,  10:2 , 1
YESBANK ,  10:2 , 1
SAFARIND ,  10:2 , 1
SUTLEJTEX ,  10:1 , 1
ELPROINTL ,  2:1 , 1
TRIL ,  10:1 , 1
JAMNAAUTO ,  5:1 , 1
HERITGFOOD ,  10:5 , 1
CANFINHOME ,  10:2 , 1
POKARNA ,  10:2 , 1
VISHAL ,  10:5 , 1
SIYSIL ,  10:2 , 1
ATLASCYCLE ,  10:5 , 1
SHRJAGP ,  10:1 , 1
IGL ,  10:2 , 1
AAIL ,  10:5 , 1
UNICRSE ,  5:1 , 1
ADVIKCA ,  10:1 , 1
PREMPIPES ,  10:5 , 1
JINDWORLD ,  10:5 , 1
SUCROSA ,  10:2 , 1
SINGER ,  10:2 , 1
SRSFIN ,  10:1 , 1
INDNIPPON ,  10:5 , 1
