screener_name, isin_name
Adani enterp., Adani enterprises
Aditya Bir. Fas., ABFRL
Asian Granito, ASISANTILES
Bayer Crop Sci., Bayer
Central Dep. Ser, CDSL
Crompton Gr. Con., Crompton greaves
Dr Reddy's Labs, Dr Reddy
GlaxoSmith C H L, GSKCONS
Godrej Inds., Godrej Indstries
HDFC Stand. Life, HDFC standard
Hind. Unilever, Hindustan Unilever
Huhtamaki PPL, Huhtamaki
ICICI pru life, ICICI pru
I O C L, Indian Oil
Kotak Mah. Bank, Kotak Mahindra
L&T Fin.Holdings, L&T Finance
L & T Infotech, LTI
Mahindra Logis., Mahindra Logistics
M & M, Mahindra & mahindra
M & M Fin. Serv., M & M Financial
Natl. Aluminium, National Aluminium
New India Assura, New India Assurance 
Power Fin.Corpn., Power Finance
Power Grid Corpn, Power Grid
P I Inds., PI Industries
P & G Hygiene, PGHH
Rural Elec.Corp., Rural Electrification
Sh.Renuka Sugar, Shree renuka sugars
St Bk of India, SBI
Talwal.Better, Talwalkars Better
VST Till. Tract., VST Tillers
Wonderla holiday, Wonderla
Westlife develop., Westlife
