nach_name, nach_ticker
Adani ports and spec, ADANIPORTS
All cargo logistics, ALLCARGO
Amararajaint, AMARAJABAT
Amr, AMARAJABAT
Amr int, AMARAJABAT
Apollo hospitals ent, APOLLOHOSP
Asahi india glass li, ASAHIINDIA
Asian pnt, ASIANPAINT
Asianpaints, ASIANPAINT
Bajaj holdings & inv, BAJAJHLDNG
Balkrishna industris, BALKRISIND
Balkrishnaindustries, BALKRISIND
Balrampurchinimills, BALRAMCHIN
Bel, BEL
Bhel, BHEL
Bluedart, BLUEDART
Bluedart express, BLUEDART
Brigade, BRIGADE
Brigade enterprises, BRIGADE
Carborundum universa, CARBORUNIV
Cdsil, CDSL
Ceat dt, CEATLTD
Cgcel, CROMPTON
Colgatepalmolive, COLPAL
Container corporatio, CONCOR
Coromandel internat, COROMANDEL
Coromandel internati, COROMANDEL
Cox & kings, COX&KINGS
Cox & kings limited, COX&KINGS
Cox & kings ltd, COX&KINGS
Cox and kings ltd, COX&KINGS
Dr lal pathlabs, LALPATHLAB
Dr lal pathlabs lim, LALPATHLAB
Dr reddy's laborato, DRREDDY
Future lifestyle fas, FLFL
Glaxo consumer, GSKCONS
Glaxo pharma, GLAXO
Hat int, HATSUN
Hcil, HEIDELBERG
Hdfc bank ltd, HDFCBANK
Hdfc interim, HDFC
Hdfc life insurance, HDFCLIFE
Hdfc standard life, HDFCLIFE
Hdfcasset management, HDFCAMC
Hindustan unilever l, HINDUNILVR
Hindustanaeronautics, HAL
Hppl, PAPERPROD
Icici pru, ICICIPRULI
Iifl holdings limite, IIFL
Iifl securities, IIFLSEC
Iifl wealth manageme, IIFLWAM
Indiabulls housing, IBULHSGFIN
Indian oil corpn, IOC
Indian oil corpn ltd, IOC
Indianulls housing, IBULHSGFIN
Indraprastha gas lim, IGL
Infoedge india limi, NAUKRI
Jk tyre and industri, JKTYRE
Johnson controlshit, JCHAC
Jubliant foodworks l, JUBLFOOD
Ksb pumps limited, KSB
L&t finance holdings, L&TFH
L&t technology serv, LTTS
L&t technology servi, LTTS
Larsen & toubro info, LTI
Larsen & toubro limi, LT
Larsen & toubro ltd, LT
Larsen and toubro lt, LT
Lichousingfinanceltd, LICHSGFIN
Mahindra & mahindra, M&M
Mahindra and mahindr, M&M
Mahindra holidays &, MHRIL
Mahindra logistics l, MAHLOG
Mfl q fy, MANAPPURAM
Mfl th fy, MANAPPURAM
Motherson sumi syste, MOTHERSUMI
Muthoot fin ltd, MUTHOOTFIN
Name_alias, TICKER_REAL
National aluminium c, NATIONALUM
Nerolac, KANSAINER
Oil and natural gas, ONGC
Pi industries ltd, PIIND
Pidilite fn, PIDILITIND
Power grid corp, POWERGRID
Power grid corpn, POWERGRID
Power grid corporati, POWERGRID
Power grid corppowergrid corporatio, POWERGRID
Powergrid corp ltd, POWERGRID
Praxis home retail l, PRAXIS
Prestige estates pro, PRESTIGE
Procter & gamble hyg, PGHH
Rajesh expo, RAJESHEXPO
Rural eletrification, RECLTD
Sbi life insurance c, SBILIFE
Sfi, SUNDARMFIN
Sfi int, SUNDARMFIN
Sfl ii i, SUNDARMFIN
Shriram transport fi, SRTRANSFIN
Stfc, SRTRANSFIN
Sun pharmaceutical i, SUNPHARMA
T power, TATAPOWER
Talwalkars better va, TALWALKARS
Talwalkars lifestyle, TALWGYM
Tata steel fp, TATASTEEL
Tatacoffe, TATACOFFEE
Tatasteelfp, TATASTEEL
Tcl, TATACHEM
Tcoffee, TATACOFFEE
Tcook, THOMASCOOK
Tcs interim, TCS
Tcs sp, TCS
Tgbl, TATAGLOBAL
The indian hotels co, INDHOTEL
The new india assura, NIACL
Ti financial holding, CHOLAHLDNG
Ticl, TATAINVEST
Tmotorsos f, TATAMOTORS
Tp hdfc std lifins, HDFCLIFE
Tpl, TATAPOWER
Tpower, TATAPOWER
Tube investments of, TIINDIA
Tvs motor company l, TVSMOTOR
Tvssrii, TVSSRICHAK
Ubl, UBL
Usl, UNITDSPR
Venky's india ltd, VENKEYS
Vguard industries l, VGUARD
Vip industries limit, VIPIND
Vrl logistics, VRLLOG
Vst, VSTTILLERS
Vst industries, VSTIND
Wonderla holidays, WONDERLA
Zee entertainment en, ZEEL
Zee learn, ZEELEARN
