YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Qall, all, 146, 128039, 217151,  89111,   89111
2009, Qall, all,   7,      0,  11948,  11948,  101059
2010, Qall, all,  20,      0,  14277,  14277,  115336
2013, Qall, all,  61, 100812,  41527, -59285,   56050
2014, Qall, all, 106,      0, 288417, 288417,  344467
2016, Qall, all,  61,      0, 169146, 169146,  513613
2017, Qall, all, 301, 106362, 623990, 517627, 1031240
2018, Qall, all, 263,      0, 436927, 436927, 1468167
2019, Qall, all, 186,   2486, 706266, 703780, 2171947
2020, Qall, all, 257,   5589, 925250, 919661, 3091608
