Kushal ltd , 1 ,  1:1
Money masters leasing & finance ltd , 1 ,  1:4
Viji finance ltd , 1 ,  1:10
Excel realty n infra ltd , 1 ,  2:1
Kitex garments ltd. , 1 ,  2:5
Jayant agro-organics ltd. , 1 ,  1:1
Compuage infocom ltd. , 1 ,  3:5
Control print ltd.-$ , 1 ,  1:2
Grindwell norton ltd.-$ , 1 ,  1:1
Ceinsys tech ltd , 1 ,  1:10
Vinaditya trading co.ltd. , 1 ,  47:1
Ashari agencies ltd , 1 ,  4:1
Loyal equipments ltd , 1 ,  1:2
Kanco tea & industries ltd. , 1 ,  2:1
Amines & plasticizers ltd. , 1 ,  1:1
Beardsell ltd , 1 ,  1:5
Alexander stamps and coin ltd , 1 ,  1:5
Citadel realty and developers ltd. , 1 ,  1:1
K.p. energy ltd , 1 ,  1.501     
Advance syntex ltd , 1 ,  3:20
Tiger logistics (india) ltd , 1 ,  3:2
Industrial & prudential investments co.ltd. , 1 ,  2:1
Petronet lng ltd. , 1 ,  1:1
Tide water oil (india) ltd. , 1 ,  1:1
Kallam textiles ltd-$ , 1 ,  1:4
Indian hume pipe co.ltd. , 1 ,  1:1
Aurobindo pharma ltd. , 1 ,  1:1
Anuh pharma ltd. , 1 ,  2:1
Coastal corporation ltd. , 1 ,  1:1
Ishan dyes & chemicals ltd. , 1 ,  1:2
Bampsl securities ltd. , 1 ,  3:20
Godrej consumer products ltd. , 1 ,  1:1
Maan aluminium ltd. , 1 ,  1:1
Dishman pharmaceuticals & chemicals ltd. , 1 ,  1:1
Diamond infosystems ltd. , 1 ,  2:1
Alpine housing development corporation ltd. , 1 ,  1:1
Reliance industries ltd. , 1 ,  1:1
Shivalik bimetal controls ltd. , 1 ,  1:1
Nutraplus india limited , 1 ,  1:10
Gloster ltd , 1 ,  1:1
Gala global products ltd , 1 ,  1:20
Lancer container lines ltd , 1 ,  3:5
Marico ltd. , 1 ,  1:1
Captain polyplast ltd , 1 ,  1:8
Icici bank ltd. , 1 ,  1:10
Container corporation of india ltd. , 1 ,  1:4
Viaan industries ltd , 1 ,  2:1
Jiya eco-products ltd , 1 ,  1:5
Power finance corporation ltd. , 1 ,  1:1
Elpro international ltd. , 1 ,  2:1
Hindustan composites ltd. , 1 ,  1:2
Sri krishna constructions (india) ltd , 1 ,  1:10
Colgate-palmolive (india) ltd. , 1 ,  1:1
Ganesh housing corporation ltd.-$ , 1 ,  1:2
Oil and natural gas corporation ltd. , 1 ,  1:2
Alankit ltd , 1 ,  1:1
Venky's (india) ltd. , 1 ,  1:2
8k miles software services ltd. , 1 ,  1:3
Modex international securities ltd , 1 ,  1:1
Amba enterprises ltd , 1 ,  1:5
Panama petrochem ltd. , 1 ,  1:2
Sunil hitech engineers ltd. , 1 ,  1:1
Techno electric and engineering co. ltd. , 1 ,  1:1
