Ttk prestige ltd , 1 , 12
Dr lal pathlabs lim , 1 , 1
Lupin ltd , 1 , 45
Relaxo footwears ltd , 1 , 2
Bharat petroleum cor , 1 , 70
Skf , 1 , 10
Century plyboards (i , 1 , 4
Brigade , 1 , 10
Tube investments of , 1 , 4
Whirlpool of india l , 1 , 3
Thomas cook , 1 , 1
Puravankara projects , 1 , 36
Larsen & toubro ltd , 1 , 84
Basf , 1 , 1
Eih ltd , 1 , 7
Hindustan zinc ltd , 1 , 10
Varun beverages ltd , 1 , 5
Bayer , 1 , 17
Indiabulls housing , 1 , 9
Coal india ltd , 1 , 512
Muthoot fin ltd , 1 , 40
Tcoffee , 1 , 14
Adani enterprises li , 1 , 4
Berger paints india , 1 , 7
Upl ltd , 1 , 49
Mahindra and mahindr , 1 , 13
Vst , 1 , 15
Kajaria ceramics lim , 1 , 6
Hindustan unilever , 1 , 48
Asianpaints , 1 , 18
Stfc , 1 , 5
Itc ltd , 1 , 162
Jubliant foodworks l , 1 , 2
Hudco ltd , 1 , 6
Icra ltd , 1 , 27
Maruti suzuki india , 1 , 75
Mrf ltd , 1 , 3
Jsw steel ltd , 1 , 11
Nmdc ltd , 1 , 10
Sun pharmaceutical i , 1 , 52
Talwalkars better va , 1 , 6
Piramal enterprises , 1 , 21
Ncc ltd , 1 , 4
Nhpc ltd , 1 , 45
Emami ltd , 1 , 5
Shoppers stop limite , 1 , 2
Hdfc bank ltd , 1 , 198
Asian paints , 1 , 53
Hdfc standard life , 1 , 4
Aegis logistics limi , 1 , 2
The indian hotels co , 1 , 16
Akzo nobel india ltd , 1 , 22
Power grid corporati , 1 , 97
Glenmark pharma , 1 , 4
Procter & gamble hyg , 1 , 27
Greenlam industries , 1 , 1
Lichousingfinanceltd , 1 , 12
Ceat , 1 , 11
Reliance industries , 1 , 77
Indianulls housing , 1 , 14
Wipro ltd , 1 , 22
The new india assura , 1 , 7
Hindalco industries , 1 , 9
Tgbl , 1 , 16
Tcl , 1 , 22
Pvr ltd , 1 , 2
Future lifestyle fas , 1 , 2
Sobha ltd , 1 , 7
Accltd , 1 , 11
Britannia industries , 1 , 22
Cox and kings ltd , 1 , 4
Powergrid corporatio , 1 , 71
Voltas , 1 , 7
Nlc india ltd , 1 , 50
Hindustan unilever l , 1 , 60
Balkrishna industris , 1 , 2
Zee learn ltd , 1 , 1
National aluminium c , 1 , 160
Siemens , 1 , 14
Rallis , 1 , 18
Castrol , 1 , 9
Ambuja cements limit , 1 , 8
Interglobe aviation , 1 , 34
Amr , 1 , 4
Trent , 1 , 4
Bel , 1 , 9
Idend , 1 , 110
Petronet lng ltd , 1 , 13
Tube investments , 1 , 2
Bhel , 1 , 12
Gillette india limit , 1 , 10
Tata power , 1 , 16
Titan , 1 , 5
Itdc ltd , 1 , 2
Hsil ltd , 1 , 12
Prestige estates pro , 1 , 4
Ultratech cement ltd , 1 , 30
Bse ltd , 1 , 5
Bluedart , 1 , 15
Coromandel internat , 1 , 15
Ti financial holding , 1 , 1
Asahi india glass li , 1 , 4
Jk tyre and industri , 1 , 17
Carborundum universa , 1 , 4
Bajaj auto ltd , 1 , 55
Apollo hospitals ent , 1 , 30
Ubl , 1 , 1
Zee entertainment en , 1 , 22
Kotak mahindra bank , 1 , 1
Pidilite , 1 , 9
Apollo tyres ltd , 1 , 15
Amr int , 1 , 2
Nerolac , 1 , 9
Bata india ltd , 1 , 7
Rajesh expo , 1 , 2
Icici bank , 1 , 25
Cera sanitaryware li , 1 , 12
Axis bank ltd , 1 , 10
Avanti feeds ltd , 1 , 9
Icici lombard , 1 , 2
Cipla ltd , 1 , 4
Rural eletrification , 2 , 104
Power finance corpor , 2 , 132
Hdfc , 2 , 133
Aurobindo pharma ltd , 2 , 6
Nilkamal ltd , 2 , 11
Supreme industries l , 2 , 15
Marico ltd , 2 , 25
Icici pru , 2 , 31
Colgatepalmolive (i , 2 , 8
Infosys , 2 , 305
Oil india ltd , 2 , 117
Dabur india ltd , 2 , 9
Gail (india) ltd , 2 , 46
Cummins india limite , 2 , 24
Engineers india ltd , 2 , 22
Vip industries limit , 2 , 18
Nbcc (india) ltd , 2 , 7
Indian oil corpn , 2 , 117
Page industries limi , 2 , 60
Exide industries lim , 2 , 12
Vedanta ltd , 2 , 778
Dlf ltd , 2 , 24
Godrej consumer prod , 2 , 2
Motherson sumi syste , 2 , 161
Crisil ltd , 2 , 12
Hindustan petroleum , 2 , 89
Monsanto india limit , 2 , 30
Bharti airtel limite , 2 , 101
Container corporatio , 2 , 16
Nestle india ltd , 2 , 48
Hero motocorp ltd , 2 , 85
Tvs motor company l , 2 , 13
Oil and natural gas , 3 , 128
Ntpc ltd , 3 , 208
Infoedge india limi , 3 , 9
Balkrishnaindustries , 3 , 7
Hcl technologies lim , 4 , 72
Care ratings ltd , 4 , 34
Tcs , 4 , 388
total dividend amount:  6505
total dividend entries :  209
total companies count :  160
