sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altman, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_score
INE213A01029, Ongc, 153, 85004, 19945, 9, 52, 15, 54, 0, 20, 4, -2, 0, 48, -500, 196947, 196990, 3, 0, 11, 236, 0, -4, 6, 27
INE584A01023, Nmdc, 103, 11614, 3805, 8, 54, 12, 62, 0, 167, 4, 0, 1, 80, -90, 32628, 32698, 9, 3, 13, 150, -4, -18, 5, 27
INE589A01014, Nlc, 81, 8496, 1338, 9, 36, 8, 47, 0, 11, 8, 0, 0, 50, 67, 19439, 12518, 1, 1, 14, 132, 12, 20, 8, 27
INE848E01016, Nhpc, 22, 6934, 2758, 8, 84, 2, 88, 0, 4, 7, -1, 0, 68, -64, 42301, 23134, 1, 1, 7, 41, 4, -5, 9, 26
INE205A01025, Vedanta, 230, 91866, 13890, 7, 31, 37, 104, 1, 4, 6, 0, 1, 23, 265, 146188, 85495, 1, 0, -1, 410, 54, 15, 5, 26
INE092A01019, Tata chemicals, 689, 11160, 2702, 6, 32, 106, 28, 0, 8, 1, -7, 1, 36, -12081, 23188, 17568, 2, 1, 11, 996, -1, 0, 7, 26
INE493A01027, Tata coffee, 112, 1567, 187, 10, 18, 10, 21, 0, 6, 1, 1, 1, 22, 180, 2834, 2096, 2, 1, 13, 122, 0, 9, 12, 26
INE118H01025, Bse, 837, 645, 724, 6, 128, 134, 69, 0, 758, 3, 5, 1, 59, 12144, 3344, 4504, 2, 1, 7, 1381, 7, 1, 4, 25
126, Iocl, 154, 424036, 21346, 7, 10, 21, 48, 0, 10, 6, 0, 1, 39, 195, 204668, 149901, 2, 1, 14, 248, -2, 12, 5, 25
INE267A01025, Hindzinc, 272, 22084, 9224, 12, 63, 21, 149, 0, 44, 10, 2, 2, 105, 740, 122689, 114970, 5, 1, 19, 215, 8, 6, 9, 25
INE733E01010, Ntpc, 156, 83452, 10343, 12, 28, 12, 41, 1, 4, 3, 7, 1, 28, 1583, 235642, 128959, 1, 1, 11, 190, 4, 1, 13, 25
52, Rural eleccorp, 99, 22248, 4647, 4, 93, 23, 30, 5, 1, 9, 0, 0, 27, 92, 182719, 19689, 0, 4, 21, 319, 18, 17, 8, 24
61, Power grid corpn, 184, 29752, 8238, 11, 91, 15, 30, 2, 2, 2, 0, 1, 24, 163, 212149, 96679, 1, 0, 14, 198, 20, 18, 11, 24
62, Power fincorpn, 73, 26319, 5855, 3, 97, 22, 62, 5, 1, 6, 0, 0, 30, -172, 218957, 19483, 0, 4, 14, 282, 15, -6, 8, 24
82, Natl aluminium, 62, 9618, 1342, 15, 17, 6, 80, 0, 1046, 4, -5, 1, 54, -606, 12020, 11993, 3, 1, 7, 96, 2, -2, 5, 24
INE414G01012, Muthoot finance, 374, 6161, 1720, 8, 76, 43, 20, 3, 2, 1, 1, 1, 26, 1042, 34671, 14975, 2, 11, 16, 446, 4, 5, 7, 24
INE029A01011, Bpcl, 366, 236313, 7919, 10, 6, 36, 58, 0, 14, 5, 0, 2, 42, 136, 102705, 79600, 3, 0, 27, 377, 0, 42, 8, 23
