sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altmanz, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_pledge, sc_crank, sc_prank
5, Adani enterprises, 149, 36999, 533, 25, 6, 5, 6, 1, 1, 0, -4, 1, 5, -311, 32407, 16376, 1, 2, 6, 123, -4, -6, 16, 31, 6, 6
18, Asisantiles, 218, 1169, 52, 13, 11, 17, 7, 1, 3, 1, 1, 2, 6, 139, 971, 655, 2, 2, 11, 238, 10, 25, 9, 0, 14, 8
32, Bandhan bank, 613, 5205, 1501, 49, 65, 13, 9, 4, 2, 0, 0, 7, 0, 0, 101739, 73095, 2, 8, 0, 153, 0, 0, 24, 0, 12, 0
56, Cholamaninv&fn, 1309, 5838, 1062, 19, 74, 68, 10, 6, 2, 1, 1, 4, 11, 805, 51983, 20473, 1, 7, 19, 729, 16, 26, 12, 0, 15, 1
68, Dewan hsg fin, 610, 11193, 1347, 14, 89, 43, 15, 11, 1, 1, 1, 2, 11, 455, 109290, 19146, 1, 2, 18, 533, 21, 21, 11, 0, 14, 5
86, Future supply, 631, 851, 72, 35, 15, 18, 6, 0, 11, 0, 0, 6, 3, 0, 2486, 2529, 8, 1, 16, 210, 0, 0, 22, 0, 21, 0
90, Glaxosmi pharma, 1722, 3024, 414, 70, 21, 24, 84, 0, 1646, 1, -6, 13, 92, -2166, 27889, 29167, 12, 1, 17, 265, 2, -13, 43, 0, 30, 1
99, Greenlam industr, 1021, 1155, 67, 37, 13, 28, 9, 1, 7, 0, 0, 7, 8, 0, 2706, 2464, 5, 2, 18, 309, 0, 0, 24, 0, 22, 0
103, Hpcl, 240, 233463, 7152, 5, 5, 47, 41, 1, 18, 7, 0, 1, 42, 78, 56429, 36633, 3, 1, 28, 422, 1, 49, 5, 0, 21, 15
107, Hdfc amc, 1631, 1867, 722, 48, 58, 34, 47, 0, 0, 1, 0, 15, 44, 0, 34566, 34568, 102, 2, 0, 292, 0, 0, 33, 0, 27, 1
112, Hindaeronautics, 905, 18541, 2101, 14, 20, 63, 52, 0, 309, 4, 0, 2, 0, 0, 24629, 30249, 1, 1, 0, 724, 0, 0, 7, 0, 16, 11
117, Huhtamaki, 271, 2257, 72, 28, 10, 10, 36, 1, 6, 1, 4, 4, 33, 607, 2410, 2049, 4, 2, 12, 129, 19, 7, 15, 0, 27, 1
122, Icici sec, 331, 1895, 569, 19, 50, 18, 136, 1, 18, 3, 0, 11, 0, 0, 9830, 10655, 5, 2, 0, 109, 0, 0, 11, 0, 25, 5
144, Ksb, 763, 995, 72, 37, 11, 21, 31, 0, 48, 1, 11, 4, 29, 3769, 2584, 2657, 7, 2, 12, 304, 6, 3, 24, 0, 29, 1
155, Mahindra logistics, 545, 3492, 74, 52, 4, 10, 17, 0, 33, 0, 0, 9, 7, 0, 3845, 3876, 7, 1, 15, 121, 0, 0, 32, 0, 22, 0
162, Multi comm exc, 789, 274, 89, 36, 22, 18, 80, 0, 3028, 2, -2, 3, 56, -627, 3966, 4026, 7, 0, 8, 328, -8, -16, 33, 0, 28, 3
169, New assurance, 246, 24008, 2337, 17, 5, 14, 33, 0, 0, 2, 0, 2, 31, 0, 31462, 40483, 1, 1, 4, 219, 0, 0, 11, 0, 14, 8
188, Puravankara, 88, 1458, 98, 21, 22, 4, 42, 1, 2, 2, -10, 1, 32, -669, 4062, 2094, 2, 3, 5, 99, 12, -2, 10, 0, 20, 12
211, Sundaram finance, 1580, 2770, 556, 32, 79, 50, 25, 4, 2, 1, 6, 4, 25, 4664, 34277, 17555, 2, 6, 14, 646, 5, 5, 15, 0, 20, 1
213, Talwalkars better, 32, 141, 43, 2, 62, 14, 18, 1, 5, 4, 0, 0, 15, -24, 238, 99, 2, 2, 10, 146, -19, -22, 3, 46, 16, 20
214, Talwalkars life, 148, 249, 63, 7, 59, 20, 4, 1, 8, 1, 0, 1, 0, 0, 786, 458, 2, 5, 0, 257, 0, 0, 7, 13, 12, 15
241, Vodafone idea, 46, 26002, -3097, 0, 19, -7, 0, 2, 0, 0, 0, 1, 7, 0, 75115, 20143, 1, 0, 8, 0, 13, 0, 139, 0, 5, 11
245, Vst tillers, 1999, 728, 98, 18, 16, 114, 39, 0, 81, 3, 1, 3, 26, 1958, 1710, 1727, 9, 2, 18, 1344, 10, 16, 12, 0, 30, 6
247, Westlife develop, 380, 1214, 27, 217, 8, 2, 0, 0, 3, 0, -9, 11, 0, -243, 6081, 5908, 11, 0, -3, 37, 11, -25, 142, 0, 17, 0
250, Wonderla, 299, 272, 46, 37, 38, 8, 22, 0, 60, 1, 14, 2, 19, 1865, 1670, 1691, 7, 0, 7, 161, 14, 3, 23, 0, 27, 4
IN9155A01020, Tata motors, 262, 303207, 4029, 17, 10, 13, 0, 1, 2, 0, -3, 1, 0, -608, 137226, 82890, 1, 1, 13, 292, 9, -6, 14, 5, 8, 11
INE001A01036, Hdfc, 1878, 36995, 12804, 33, 96, 76, 28, 5, 2, 1, 2, 5, 33, 2855, 636293, 317752, 1, 2, 20, 800, 11, 14, 16, 0, 19, 0
INE001B01026, Krbl, 378, 3118, 422, 21, 24, 18, 13, 1, 12, 1, 1, 4, 13, 213, 10081, 8906, 6, 9, 22, 202, 10, 28, 14, 0, 27, 0
INE002A01018, Reliance, 1253, 436962, 36486, 22, 17, 58, 10, 1, 6, 0, 2, 3, 10, 1531, 1029478, 793890, 2, 1, 13, 787, 0, 13, 17, 0, 14, 1
INE003A01024, Siemens, 945, 11928, 1238, 40, 10, 35, 22, 0, 342, 1, 3, 4, 34, 1884, 29579, 33650, 6, 2, 12, 428, -3, 12, 16, 0, 28, 1
INE007A01025, Crisil, 1737, 1708, 324, 39, 28, 45, 66, 0, 284, 2, 6, 10, 63, 4549, 12385, 12517, 19, 1, 30, 412, 11, 6, 27, 0, 30, 2
INE008I01026, Cox kings, 217, 6726, 394, 10, 14, 22, 5, 1, 3, 0, 1, 1, 9, 516, 6173, 3829, 2, 2, 8, 311, 29, 7, 7, 63, 8, 18
INE009A01021, Infosys, 743, 72572, 16157, 20, 26, 37, 59, 0, 0, 3, 2, 5, 48, 1122, 304709, 324527, 16, 3, 23, 361, 12, 11, 15, 0, 28, 4
