comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Tata consultancy services, TCS, INE467B01029, 555, 1, Large Cap, 609949
Reliance industries, RELIANCE, INE002A01018, 555, 2, Large Cap, 603880
Hdfc bank, HDFCBANK, INE040A01026, 555, 3, Large Cap, 504850
Itc, ITC, INE154A01025, 555, 4, Large Cap, 328388
Hindustan unilever, HINDUNILVR, INE030A01027, 111, 5, Large Cap, 310473
Maruti suzuki, MARUTI, INE585B01010, 555, 7, Large Cap, 270719
Infosys, INFY, INE009A01021, 555, 8, Large Cap, 257789
Oil natural gas corporation, ONGC, INE213A01029, 111, 9, Large Cap, 234474
Kotak mahindra bank, KOTAKBANK, INE237A01028, 111, 11, Large Cap, 220006
Icici bank, ICICIBANK, INE090A01021, 111, 12, Large Cap, 194457
Larsen toubro, LT, INE018A01030, 555, 13, Large Cap, 187311
Coal, COALINDIA, INE522F01014, 111, 14, Large Cap, 177671
Indian oil corporation, IOC, INE242A01010, 111, 15, Large Cap, 173488
Bharti airtel, BHARTIARTL, INE397D01024, 111, 16, Large Cap, 165804
Ntpc, NTPC, INE733E01010, 111, 17, Large Cap, 138077
Axis bank, AXISBANK, INE238A01034, 111, 18, Large Cap, 137856
Hcl technologies, HCLTECH, INE860A01027, 111, 19, Large Cap, 131824
Wipro, WIPRO, INE075A01022, 111, 20, Large Cap, 129723
Hindustan zinc, HINDZINC, INE267A01025, 111, 21, Large Cap, 129336
Sun pharmaceutical industries, SUNPHARMA, INE044A01036, 111, 22, Large Cap, 127722
Asian paints, ASIANPAINT, INE021A01026, 111, 23, Large Cap, 114186
Tata motors, TATAMOTORS, INE155A01022, 111, 24, Large Cap, 110881
Ultratech cement, ULTRACEMCO, INE481G01011, 555, 25, Large Cap, 110759
Vedanta, VEDL, INE205A01025, 111, 26, Large Cap, 109187
Bajaj finance, BAJFINANCE, INE296A01024, 111, 27, Large Cap, 108156
Indusind bank, INDUSINDBK, INE095A01012, 111, 28, Large Cap, 108074
Power grid corporation, POWERGRID, INE752E01010, 111, 29, Large Cap, 104378
Hdfc standard life insurance company, HDFCLIFE, INE795G01014, 111, 31, Large Cap, 93944
Bharat petroleum, BPCL, INE029A01011, 111, 32, Large Cap, 93548
Bajaj auto, BAJAJ-AUTO, INE917I01010, 111, 33, Large Cap, 85676
Bajaj finserv, BAJAJFINSV, INE918I01018, 111, 34, Large Cap, 85322
Avenue supermarts, DMART, INE192R01011, 111, 35, Large Cap, 85049
Nestle, NESTLEIND, INE239A01016, 111, 36, Large Cap, 82052
Adani ports special economic zone, ADANIPORTS, INE742F01042, 111, 37, Large Cap, 81503
Titan company, TITAN, INE280A01028, 555, 38, Large Cap, 79395
Eicher motors, EICHERMOT, INE066A01013, 111, 39, Large Cap, 78980
Jsw steel, JSWSTEEL, INE019A01038, 111, 41, Large Cap, 74567
Godrej consumer products, GODREJCP, INE102D01028, 111, 42, Large Cap, 73986
Hero motocorp, HEROMOTOCO, INE158A01026, 111, 43, Large Cap, 72392
Grasim industries, GRASIM, INE047A01021, 111, 44, Large Cap, 72361
Gail, GAIL, INE129A01019, 111, 45, Large Cap, 71875
Motherson sumi systems, MOTHERSUMI, INE775A01035, 111, 46, Large Cap, 70561
Sbi life insurance company, SBILIFE, INE123W01016, 111, 47, Large Cap, 69153
Tata steel, TATASTEEL, INE081A01012, 111, 48, Large Cap, 68910
General insurance corporation, GICRE, INE481Y01014, 111, 49, Large Cap, 64104
Dabur, DABUR, INE016A01026, 111, 50, Large Cap, 62645
Britannia industries, BRITANNIA, INE216A01022, 111, 51, Large Cap, 62400
Tech mahindra, TECHM, INE669C01036, 111, 52, Large Cap, 62221
Bandhan bank, BANDHANBNK, INE545U01014, 111, 54, Large Cap, 59878
Shree cements, SHREECEM, INE070A01015, 111, 55, Large Cap, 58810
Icici prudential life insurance company, ICICIPRULI, INE726G01019, 111, 56, Large Cap, 58332
Bosch, BOSCHLTD, INE323A01026, 111, 57, Large Cap, 57571
Zee entertainment enterprises, ZEEL, INE256A01028, 111, 58, Large Cap, 55276
The new assurance company, NIACL, INE470Y01017, 111, 59, Large Cap, 54969
Hindalco industries, HINDALCO, INE038A01020, 111, 60, Large Cap, 53810
Indiabulls housing finance, IBULHSGFIN, INE148I01020, 111, 61, Large Cap, 53272
Hindustan petroleum corporation, HINDPETRO, INE094A01015, 111, 62, Large Cap, 53083
Pidilite industries, PIDILITIND, INE318A01026, 111, 63, Large Cap, 50466
Interglobe aviation, INDIGO, INE646L01027, 111, 64, Large Cap, 48493
United spirits, UNITDSPR, INE854D01024, 111, 65, Large Cap, 48469
Ambuja cements, AMBUJACEM, INE079A01024, 111, 66, Large Cap, 47238
Cipla, CIPLA, INE059A01026, 111, 67, Large Cap, 46807
Piramal enterprises, PEL, INE140A01024, 111, 68, Large Cap, 45871
Ashok leyland, ASHOKLEY, INE208A01029, 111, 69, Large Cap, 41372
Marico, MARICO, INE196A01026, 111, 70, Large Cap, 41087
Cadila healthcare, CADILAHC, INE010B01027, 111, 71, Large Cap, 40733
Siemens, SIEMENS, INE003A01024, 111, 72, Large Cap, 40201
Nmdc, NMDC, INE584A01023, 111, 73, Large Cap, 39854
Dlf, DLF, INE271C01023, 111, 74, Large Cap, 39282
Lupin, LUPIN$, INE326A01037, 111, 75, Large Cap, 37107
Upl, UPL, INE628A01036, 111, 76, Large Cap, 36887
Biocon, BIOCON, INE376G01013, 111, 77, Large Cap, 36655
Dr reddys laboratories, DRREDDY, INE089A01023, 111, 79, Large Cap, 36148
Aurobindo pharma, AUROPHARMA, INE406A01037, 111, 80, Large Cap, 35551
Bankbaroda, BANKBARODA, INE028A01039, 111, 81, Large Cap, 35201
Icici lombard general insurance company, ICICIGI, INE765G01017, 111, 82, Large Cap, 35103
Bharat electronics, BEL, INE263A01024, 111, 83, Large Cap, 34980
Hindustan aeronautics, HAL, INE066F01012, 111, 84, Large Cap, 34934
Petronet lng, PETRONET, INE347G01014, 222, 85, Large Cap, 34793
Havells, HAVELLS, INE176B01034, 111, 89, Large Cap, 33334
Shriram transport finance co, SRTRANSFIN, INE721A01013, 111, 91, Large Cap, 32937
Container corporation, CONCOR, INE111A01025, 111, 92, Large Cap, 32319
L&t finance holdings, L&TFH, INE498L01015, 111, 93, Large Cap, 32105
Bharat heavy electricals, BHEL, INE257A01026, 111, 94, Large Cap, 32014
Mrf, MRF, INE883A01011, 111, 95, Large Cap, 31142
Idea cellular, IDEA, INE669E01016, 111, 96, Large Cap, 30925
Procter gamble hygiene health care, PGHH, INE179A01014, 111, 97, Large Cap, 30662
Tvs motor company, TVSMOTOR, INE494B01023, 111, 99, Large Cap, 30634
Colgate palmolive, COLPAL, INE259A01022, 111, 100, Large Cap, 30609
United breweries, UBL, INE686F01025, 111, 101, Mid Cap, 29338
Mahindra mahindra financial services, M&MFIN, INE774D01024, 111, 102, Mid Cap, 29124
Acc, ACC, INE012A01025, 111, 103, Mid Cap, 29023
Abb, ABB, INE117A01022, 111, 105, Mid Cap, 28908
Nhpc, NHPC, INE848E01016, 111, 107, Mid Cap, 28582
Future retail, FRETAIL, INE752P01024, 111, 108, Mid Cap, 27905
Kansai nerolac paints, KANSAINER, INE531A01024, 111, 109, Mid Cap, 26867
Glaxosmithkline consumer healthcare, GSKCONS, INE264A01014, 111, 110, Mid Cap, 26570
Lic housing finance, LICHSGFIN, INE115A01026, 111, 111, Mid Cap, 26345
Page industries, PAGEIND, INE761H01022, 111, 113, Mid Cap, 26079
Rural electrification corporation, RECLTD, INE020B01018, 111, 114, Mid Cap, 26022
Berger paints, BERGEPAINT, INE463A01038, 111, 115, Mid Cap, 25789
Emami, EMAMILTD, INE548C01032, 111, 117, Mid Cap, 25176
Power finance corporation, PFC, INE134E01011, 111, 118, Mid Cap, 25048
Larsen toubro infotech, LTI, INE214T01019, 111, 120, Mid Cap, 24711
Iifl holdings, IIFL, INE530B01024, 111, 122, Mid Cap, 23276
Cholamandalam investment finance company, CHOLAINV, INE121A01016, 111, 124, Mid Cap, 23112
Tata power co, TATAPOWER, INE245A01021, 111, 126, Mid Cap, 22811
3m, 3MINDIA, INE470A01017, 111, 127, Mid Cap, 22225
Balkrishna industries, BALKRISIND, INE787D01026, 111, 128, Mid Cap, 22142
Cummins, CUMMINSIND, INE298A01020, 111, 130, Mid Cap, 21619
Gillette, GILLETTE, INE322A01010, 111, 131, Mid Cap, 21395
Rajesh exports, RAJESHEXPO, INE343B01030, 111, 132, Mid Cap, 21298
Glaxosmithkline pharmaceuticals, GLAXO, INE159A01016, 111, 135, Mid Cap, 20596
Exide industries, EXIDEIND, INE302A01020, 111, 138, Mid Cap, 19862
Voltas, VOLTAS, INE226A01021, 111, 139, Mid Cap, 19763
Adani transmission, ADANITRANS, INE931S01010, 111, 140, Mid Cap, 19729
Godrej industries, GODREJIND, INE233A01035, 111, 141, Mid Cap, 19512
Whirlpool, WHIRLPOOL, INE716A01013, 111, 144, Mid Cap, 19350
Castrol, CASTROLIND, INE172A01027, 111, 146, Mid Cap, 18673
Tata chemicals, TATACHEM, INE092A01019, 111, 150, Mid Cap, 18401
Nbcc, NBCC, INE095N01031, 111, 151, Mid Cap, 18245
Dewan housing finance, DHFL, INE202B01012, 111, 152, Mid Cap, 18199
Endurance technologies, ENDURANCE, INE913H01037, 111, 156, Mid Cap, 17760
Tata global beverages, TATATEA, INE192A01025, 111, 157, Mid Cap, 17554
Godrej properties, GODREJPROP, INE484J01027, 111, 162, Mid Cap, 16691
Muthoot finance, MUTHOOTFIN, INE414G01012, 111, 163, Mid Cap, 16503
Indian hotels co, INDHOTEL, INE053A01029, 111, 164, Mid Cap, 16299
