comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Tata consultancy services, TCS, INE467B01029, 15, 1, Large Cap, 609949
Reliance industries, RELIANCE, INE002A01018, 15, 2, Large Cap, 603880
Hdfc bank, HDFCBANK, INE040A01026, 15, 3, Large Cap, 504850
Itc, ITC, INE154A01025, 15, 4, Large Cap, 328388
Hindustan unilever, HINDUNILVR, INE030A01027, 3, 5, Large Cap, 310473
Housing development finance corplt, HDFC, INE001A01036, 0, 6, Large Cap, 302362
Maruti suzuki, MARUTI, INE585B01010, 15, 7, Large Cap, 270719
Infosys, INFY, INE009A01021, 15, 8, Large Cap, 257789
Oil natural gas corporation, ONGC, INE213A01029, 3, 9, Large Cap, 234474
State bank, SBIN, INE062A01020, 0, 10, Large Cap, 234343
Kotak mahindra bank, KOTAKBANK, INE237A01028, 3, 11, Large Cap, 220006
Icici bank, ICICIBANK, INE090A01021, 3, 12, Large Cap, 194457
Larsen toubro, LT, INE018A01030, 15, 13, Large Cap, 187311
Coal, COALINDIA, INE522F01014, 3, 14, Large Cap, 177671
Indian oil corporation, IOC, INE242A01010, 3, 15, Large Cap, 173488
Bharti airtel, BHARTIARTL, INE397D01024, 3, 16, Large Cap, 165804
Ntpc, NTPC, INE733E01010, 3, 17, Large Cap, 138077
Axis bank, AXISBANK, INE238A01034, 3, 18, Large Cap, 137856
Hcl technologies, HCLTECH, INE860A01027, 3, 19, Large Cap, 131824
Wipro, WIPRO, INE075A01022, 3, 20, Large Cap, 129723
Hindustan zinc, HINDZINC, INE267A01025, 3, 21, Large Cap, 129336
Sun pharmaceutical industries, SUNPHARMA, INE044A01036, 3, 22, Large Cap, 127722
Asian paints, ASIANPAINT, INE021A01026, 3, 23, Large Cap, 114186
Tata motors, TATAMOTORS, INE155A01022, 3, 24, Large Cap, 110881
Ultratech cement, ULTRACEMCO, INE481G01011, 15, 25, Large Cap, 110759
Vedanta, VEDL, INE205A01025, 3, 26, Large Cap, 109187
Bajaj finance, BAJFINANCE, INE296A01024, 3, 27, Large Cap, 108156
Indusind bank, INDUSINDBK, INE095A01012, 3, 28, Large Cap, 108074
Power grid corporation, POWERGRID, INE752E01010, 3, 29, Large Cap, 104378
Mahindra mahindra, M&M, INE101A01026, 0, 30, Large Cap, 99800
Hdfc standard life insurance company, HDFCLIFE, INE795G01014, 3, 31, Large Cap, 93944
