comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Yes bank, YESBANK, INE528G01027, 0, 62, Large Cap, 45077
Divis laboratories, DIVISLAB, INE361B01024, 0, 68, Large Cap, 42947
Punjab national bank, PNB, INE160A01022, 0, 84, Large Cap, 33444
Idbi bank, IDBI, INE008A01015, 0, 87, Large Cap, 31636
Oracle financial services soft, OFSS, INE881D01027, 0, 95, Large Cap, 29982
Torrent pharmaceuticals, TORNTPHARM, INE685A01028, 0, 97, Large Cap, 29565
Rbl bank, RBLBANK, INE976G01028, 0, 102, Mid Cap, 26670
Bharat forge, BHARATFORG, INE465A01025, 0, 120, Mid Cap, 22473
Bank, BANKINDIA, INE084A01016, 0, 121, Mid Cap, 22471
Sun tv network, SUNTV, INE424H01027, 0, 124, Mid Cap, 22332
Idfc first bank, IDFCFIRSTB, INE092T01019, 0, 126, Mid Cap, 21748
Alkem laboratories, ALKEM, INE540L01014, 0, 127, Mid Cap, 21377
Steel authority, SAIL, INE114A01011, 0, 128, Mid Cap, 21218
Aditya birla capital, ABCAPITAL, INE674K01013, 0, 132, Mid Cap, 20799
Gruh finance, GRUH, INE580B01029, 0, 134, Mid Cap, 20158
Canara bank, CANBK, INE476A01014, 0, 136, Mid Cap, 19517
Federal bank, FEDERALBNK, INE171A01029, 0, 140, Mid Cap, 18757
Dalmia bharat, DALBHARAT, INE00R701025, 0, 142, Mid Cap, 18705
Oberoi realty, OBEROIRLTY, INE093I01010, 0, 145, Mid Cap, 18405
Mphasis, MPHASIS, INE356A01018, 0, 146, Mid Cap, 18302
Au small finance bank, AUBANK, INE949L01017, 0, 147, Mid Cap, 18254
Adani power, ADANIPOWER, INE814H01011, 0, 148, Mid Cap, 18116
Indiabulls ventures, IBVENTURES, INE274G01010, 0, 151, Mid Cap, 17347
The ramco cements, RAMCOCEM, INE331A01037, 0, 158, Mid Cap, 16768
Sundaram finance, SUNDARMFIN, INE660A01013, 0, 159, Mid Cap, 16684
Aia engineering, AIAENG, INE212H01026, 0, 164, Mid Cap, 16204
Edelweiss financial services l, EDELWEISS, INE532F01054, 0, 165, Mid Cap, 15717
