YEAR, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Jan,  10,      0,  49685,  49685,   49685
2008, Feb,  32,  10866, 112944, 102077,  151762
2008, Mar,  38,      0, 125300, 125300,  277062
2008, Jun,  55,      0,  63138,  63138,  340201
2008, Aug,  12,  43940,      0, -43940,  296260
2008, Oct,  26,      0,  27739,  27739,  323999
2008, Nov,  88, 161892,   6842, -155049,  168949
2008, Dec,   6,  35397,  52115,  16717,  185666
2009, Feb,   4,      0,   3492,   3492,  189158
2009, Dec,   3,      0,   8456,   8456,  197614
2010, Jan,   2,      0,   1201,   1201,  198815
2010, Feb,  25,      0,  16724,  16724,  215539
2013, Jan,  20,  31371,   5077, -26293,  189245
2013, Feb,  42,  78115,   5741, -72374,  116870
2013, Mar,   1,      0,   2870,   2870,  119740
2013, Apr,   1,      0,   2829,   2829,  122569
2013, May,   4,    791,   7853,   7062,  129631
2013, Jun,   1,      0,   2608,   2608,  132239
2013, Jul,   1,      0,   2539,   2539,  134778
2013, Aug,   1,      0,   2719,   2719,  137497
2013, Sep,   1,      0,   2971,   2971,  140468
2013, Oct,   1,      0,   2863,   2863,  143331
2013, Nov,   1,      0,   2924,   2924,  146255
2013, Dec,   1,      0,   2925,   2925,  149180
2014, Jan,   2,      0,  24961,  24961,  174141
2014, Feb,   1,      0,   2829,   2829,  176970
2014, Mar,  17,      0,  40304,  40304,  217274
2014, Apr,   8,      0,  10269,  10269,  227543
2014, May,   6,      0,   8397,   8397,  235940
2014, Jun,   8,      0,   9555,   9555,  245495
2014, Jul,   8,      0,   9973,   9973,  255468
2014, Aug,  23,      0, 142715, 142715,  398183
2014, Sep,   8,      0,   9826,   9826,  408009
2014, Oct,   8,      0,   9920,   9920,  417929
2014, Nov,   7,      0,   8926,   8926,  426855
2014, Dec,  10,      0,  10731,  10731,  437586
2016, May,   8,      0,  49568,  49568,  487154
2016, Jun,   2,      0,   5337,   5337,  492491
2016, Jul,   3,      0,   5626,   5626,  498117
2016, Aug,   2,      0,   5620,   5620,  503737
2016, Sep,  10,      0,  15392,  15392,  519129
2016, Oct,  15,      0,  58672,  58672,  577801
2016, Nov,  12,      0,  14076,  14076,  591877
2016, Dec,  14,      0,  16844,  16844,  608721
2017, Jan,  20,      0,  63680,  63680,  672401
2017, Feb,  13,      0,  17471,  17471,  689872
2017, Mar,  10,      0,  14897,  14897,  704769
2017, Apr,   5,      0,   8917,   8917,  713686
2017, May,  24,      0,  38244,  38244,  751930
2017, Jun, 102,      0, 150916, 150916,  902846
2017, Jul,  33,      0,  59245,  59245,  962091
2017, Aug,  15,      0,  71310,  71310, 1033401
2017, Sep,  37,      0, 106603, 106603, 1140004
2017, Oct,  29,      0, 148716, 148716, 1288720
2017, Nov,  42, 187005,  41706, -145298, 1143421
2017, Dec,  29,   2871,  34724,  31853, 1175274
2018, Jan,  27,      0,  27366,  27366, 1202640
2018, Feb,  35,      0,  37294,  37294, 1239934
2018, Mar,   4,      0,   2922,   2922, 1242856
2018, Apr,  39,      0,  54999,  54999, 1297855
