VEDANTA,2,778
COAL,1,512
TCS,4,388
INFY,2,305
NTPC,3,208
HDFC BANK,1,198
POWERGRID,2,168
ITC,1,162
MOTHERSUMI,2,161
NATIONALUM,1,160
HDFC,2,133
POWER FINANCE,2,132
ONGC,3,128
INDIAN OIL,2,117
OIL,2,117
3MINDIA,1,110
HINDUNILVR,2,108
RECLTD,2,104
BHARTI AIRTEL,2,101
HINDUSTAN PETROLEUM,2,89
HERO MOTOCORP,2,85
LT,1,84
RELIANCE INDUSTRIES,1,77
MARUTI SUZUKI ,1,75
HCL TECHNOLOGIES,4,72
ASIANPAINT,2,71
BHARAT PETROLEUM,1,70
PAGE INDUSTRIES,2,60
BAJAJ AUTO,1,55
SUNPHARMA,1,52
NLC,1,50
UPL,1,49
NESTLE,2,48
GAIL,2,46
LUPIN,1,45
NHPC,1,45
MUTHOOTFIN,1,40
PURVA,1,36
CARE RATINGS,4,34
INTERGLOBE AVIATION,1,34
ICICIPRULI,2,31
ULTRATECH CEMENT,1,30
MONSANTO,2,30
APOLLOHOSP,1,30
ICRA,1,27
PGHH,1,27
ICICI BANK,1,25
MARICO,2,25
CUMMINS,2,24
DLF,2,24
IBULHSGFIN,2,23
ZEEL,1,22
BRITANNIA INDUSTRIES,1,22
TATACHEM,1,22
AKZO NOBEL,1,22
ENGINERSIN,2,22
WIPRO,1,22
PIRAMAL ENTERPRISES,1,21
RALLIS,1,18
VIP INDUSTRIES,2,18
JK TYRE AND INDUSTRI,1,17
BAYER,1,17
TATACONSUM,1,16
TATA POWER,1,16
INDHOTEL,1,16
CONTAINER,2,16
APOLLO TYRES,1,15
SUPREME INDUSTRIES,2,15
BLUEDART,1,15
COROMANDEL,1,15
VSTTILLERS,1,15
TATACOFFEE,1,14
SIEMENS,1,14
M&M,1,13
PETRONET LNG,1,13
TVS MOTOR COMPANY,2,13
EXIDE INDUSTRIES,2,12
CERA SANITARYWARE,1,12
CRISIL,2,12
HSIL,1,12
LICHSGFIN,1,12
TTK PRESTIGE,1,12
BHEL,1,12
JSW STEEL,1,11
ACC,1,11
CEATLTD,1,11
NILKAMAL,2,11
AXIS BANK,1,10
SKF,1,10
BRIGADE,1,10
NMDC,1,10
HINDUSTAN ZINC,1,10
GILLETTE,1,10
KANSAINER,1,9
NAUKRI,3,9
BALKRISIND,4,9
AVANTI FEEDS,1,9
DABUR,2,9
PIDILITIND,1,9
CASTROL,1,9
HINDALCO INDUSTRIES,1,9
BEL,1,9
AMBUJA CEMENTS,1,8
COLPAL,2,8
BATA,1,7
EIH,1,7
SOBHA,1,7
BERGER PAINTS ,1,7
VOLTAS,1,7
NBCC,2,7
NIACL,1,7
AMARAJABAT,2,6
KAJARIA CERAMICS,1,6
TALWALKARS,1,6
AUROBINDO PHARMA,2,6
HUDCO,1,6
EMAMI,1,5
TITAN,1,5
VARUN BEVERAGES,1,5
SRTRANSFIN,1,5
BSE,1,5
TRENT,1,4
ADANI ENTERPRISES,1,4
ASAHI GLASS,1,4
CIPLA,1,4
NCC,1,4
CENTURY PLYBOARDS,1,4
GLENMARK,1,4
PRESTIGE,1,4
COX AND KINGS,1,4
TIINDIA,1,4
HDFCLIFE,1,4
CARBORUNIV,1,4
WHIRLPOOL,1,3
MRF,1,3
SHOPPERS STOP,1,2
PVR,1,2
JUBLFOOD,1,2
FLFL,1,2
RELAXO FOOTWEARS,1,2
ITDC,1,2
RAJESHEXPO,1,2
ICICI LOMBARD,1,2
GODREJ CONSUMER PROD,2,2
AEGIS LOGISTICS,1,2
TUBE INVESTMENTS,1,2
KOTAK MAHINDRA BANK,1,1
THOMASCOOK,1,1
GREENLAM INDUSTRIES,1,1
BASF,1,1
ZEELEARN,1,1
UBL,1,1
LALPATHLAB,1,1
CHOLAHLDNG,1,1
