comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_myavgiv, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Bankbaroda,INE028A01039,3,1,2,67,18-Sep-2018,223,Buy,Large Cap,-106,206,125,0,-108,7,15,-5,4,4,0,0,0,d2e > 2
Axis bank,INE238A01034,3,2,1,33,04-Apr-2018,390,Buy,Large Cap,-98,-463,753,-334,110,15,10,8,6,11,-40,-12,0,d2e > 2
Lic housing finance,INE115A01026,3,3,0,0,04-Dec-2018,146,Buy,Mid Cap,-96,107,501,564,624,17,11,18,10,15,14,1,0,d2e > 2
Icici bank,INE090A01021,3,6,-3,-100,04-Dec-2018,146,Buy,Large Cap,-96,-37,401,-1512,153,18,8,10,6,7,-4,-10,0,d2e > 2
Indusind bank,INE095A01012,3,2,1,33,23-Aug-2018,249,Buy,Large Cap,-94,-127,1699,981,1633,12,8,16,8,20,28,1,0,d2e > 2
Hdfc bank,INE040A01026,15,18,-3,-20,04-Dec-2018,146,Buy,Large Cap,-92,-128,2280,1759,1929,19,9,18,8,18,21,1,0,d2e > 2
Indiabulls housing finance,INE148I01020,3,2,1,33,04-Dec-2018,146,Buy,Large Cap,-91,207,749,479,1193,55,8,28,12,25,25,0,13,d2e > 2
Shriram transport finance co,INE721A01013,3,2,1,33,09-Nov-2018,171,Buy,Large Cap,-89,-98,1179,11642,1538,14,5,12,11,13,2,8,0,d2e > 2
Iifl holdings,INE530B01024,3,1,2,67,07-Sep-2018,234,Buy,Mid Cap,-88,3,448,262,419,22,7,18,12,8,27,1,0,d2e > 2
Power finance corporation,INE134E01011,3,3,0,0,09-Nov-2018,171,Buy,Mid Cap,-87,114,119,327,155,42,6,13,10,9,6,1,0,d2e > 2
Housing development finance corporation,INE001A01036,15,13,2,13,04-Dec-2018,146,Buy,Large Cap,-87,-235,1980,2292,1656,35,5,20,11,11,14,3,0,d2e > 2
Shipping corporation,INE109A01011,3,3,0,0,18-Apr-2019,11,Buy,Small Cap,-69,109,35,0,24,0,1,6,4,-4,0,0,0,dp3 < 6
Glaxosmithkline pharmaceuticals,INE159A01016,3,3,0,0,21-Sep-2018,220,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Pi industries,INE603J01030,3,2,1,33,02-Jan-2019,117,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Thyrocare technologies,INE594H01019,3,1,2,67,12-Mar-2019,48,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Shree renuka sugars,INE087H01022,3,1,2,67,28-Jun-2018,305,Buy,Micro Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Aditya birla fashion retail,INE647O01011,3,2,1,33,04-Apr-2018,390,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Multi commodity exchange,INE745G01035,3,1,2,67,26-Jul-2018,277,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Entertainment network,INE265F01028,3,1,2,67,13-Mar-2019,47,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Ti financial holdings,INE149A01033,3,3,0,0,03-Jul-2018,300,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Bayer cropscience /,INE462A01022,3,5,-2,-67,09-Jun-2017,689,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Larsen toubro infotech,INE214T01019,3,2,1,33,28-May-2018,336,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Hindustan unilever,INE030A01027,15,4,11,73,05-Dec-2018,145,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
National aluminium co,INE139A01034,3,4,-1,-33,09-Nov-2018,171,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Idea cellular,INE669E01016,6,5,1,17,25-Mar-2019,35,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Godrej industries,INE233A01035,3,2,1,33,09-Nov-2018,171,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Central depository services,INE736A01011,3,2,1,33,03-Jul-2018,300,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Zydus wellness,INE768C01010,3,1,2,67,22-Apr-2019,7,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Icici prudential life insurance company,INE726G01019,3,3,0,0,04-Dec-2018,146,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Dr reddys laboratories,INE089A01023,3,4,-1,-33,04-Apr-2018,390,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Rural electrification corporation,INE020B01018,3,6,-3,-100,09-Nov-2018,171,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Cholamandalam investment finance company,INE121A01016,3,1,2,67,24-Aug-2018,248,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Glaxosmithkline consumer healthcare,INE264A01014,3,5,-2,-67,19-Sep-2017,587,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Procter gamble hygiene health care,INE179A01014,3,8,-5,-167,09-Jun-2017,689,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Dewan housing finance corporation,INE202B01012,3,2,1,33,04-Feb-2019,84,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Delta corp,INE124G01033,3,1,2,67,18-Apr-2019,11,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
The new assurance company,INE470Y01017,3,2,1,33,04-Dec-2018,146,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Network18 media investments,INE870H01013,3,1,2,67,13-Mar-2019,47,Buy,Small Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
Indian oil corporation,INE242A01010,3,3,0,0,02-Jan-2019,117,Buy,Large Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6
