comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Bajaj finserv,INE918I01018,3,6,-3,-100,19-Sep-2017,591,Buy,Large Cap,7638,3244,-57 %,1,3,15,15,31,12,3,0,no comments
Wabco,INE342J01019,3,7,-4,-133,07-Sep-2018,238,Buy,Mid Cap,6301,8374,32 %,6,0,18,26,22,15,3,0,no comments
Godrej consumer products,INE102D01028,3,2,1,33,25-Sep-2018,220,Buy,Large Cap,674,862,27 %,35,1,26,22,9,17,3,0,no comments
Kotak mahindra bank,INE237A01028,3,2,1,33,04-Apr-2018,394,Buy,Large Cap,1367,1103,-19 %,2,5,13,8,18,23,2,0,no comments
Godrej agrovet,INE850D01014,3,2,1,33,09-Nov-2018,175,Buy,Mid Cap,524,663,26 %,29,0,21,21,13,18,2,0,no comments
Colgate palmolive,INE259A01022,3,2,1,33,04-Apr-2018,394,Buy,Large Cap,1215,1248,2 %,64,0,54,79,6,6,7,0,no comments
Kajaria ceramics,INE217B01036,3,3,0,0,09-Nov-2018,175,Buy,Small Cap,622,435,-30 %,19,0,23,31,11,17,3,0,no comments
Dabur,INE016A01026,3,3,0,0,02-Jan-2019,121,Buy,Large Cap,399,318,-20 %,48,0,29,31,5,13,4,0,no comments
Whirlpool,INE716A01013,3,3,0,0,04-Apr-2018,394,Buy,Mid Cap,1398,1200,-14 %,9,0,23,35,12,22,2,0,no comments
Icici lombard general insurance company,INE765G01017,3,3,0,0,03-Jul-2018,304,Buy,Large Cap,1070,982,-8 %,23,0,18,27,11,23,2,0,no comments
Dr lal path labs,INE600L01024,3,2,1,33,03-Jul-2018,304,Buy,Small Cap,1070,1203,12 %,18,0,27,42,19,25,2,0,no comments
Kansai nerolac paints,INE531A01024,3,3,0,0,02-Jan-2019,121,Buy,Mid Cap,436,310,-28 %,26,0,19,25,10,19,3,0,no comments
Pvr,INE191H01014,3,4,-1,-33,02-Jan-2019,121,Buy,Small Cap,1712,2585,50 %,9,1,12,15,24,23,2,0,no comments
Marico,INE196A01026,3,3,0,0,02-Jan-2019,121,Buy,Large Cap,363,308,-15 %,67,0,34,43,7,16,3,0,no comments
United spirits,INE854D01024,6,14,-8,-133,05-Dec-2018,149,Buy,Large Cap,555,1646,196 %,0,1,15,13,0,7,8,3,no comments
Jubilant foodworks,INE797F01012,3,3,0,0,03-Jul-2018,304,Buy,Mid Cap,1317,1832,39 %,19,0,16,23,16,9,6,13,no comments
Ttk prestige,INE690A01010,3,6,-3,-100,18-Jul-2017,654,Buy,Small Cap,8148,6006,-26 %,21,0,18,24,6,4,13,0,no comments
Havells,INE176B01034,3,3,0,0,03-Jul-2018,304,Buy,Large Cap,774,479,-38 %,43,0,20,27,14,13,5,0,no comments
Shree cement,INE070A01015,3,18,-15,-500,12-Mar-2019,52,Buy,Large Cap,19397,12936,-33 %,19,0,18,19,13,8,7,0,no comments
Hindustan unilever,INE030A01027,15,4,11,73,05-Dec-2018,149,Buy,Large Cap,1753,1164,-33 %,83,0,76,108,6,11,6,0,no comments
Asian paints,INE021A01026,15,9,6,40,09-Nov-2018,175,Buy,Large Cap,1450,1156,-20 %,44,0,28,40,10,13,5,12,no comments
Berger paints,INE463A01038,3,3,0,0,02-Jan-2019,121,Buy,Mid Cap,323,231,-28 %,35,0,24,30,10,16,4,0,no comments
Eih,INE230A01023,3,3,0,0,02-Jan-2019,121,Buy,Mid Cap,193,224,16 %,42,0,6,9,2,24,3,0,no comments
Emami,INE548C01032,3,4,-1,-33,19-Feb-2019,73,Buy,Mid Cap,393,355,-9 %,47,0,23,25,8,4,16,6,no comments
Page industries,INE761H01022,3,20,-17,-567,12-Mar-2019,52,Buy,Mid Cap,23586,23341,-1 %,41,0,47,62,24,25,3,0,no comments
Icici prudential life insurance company,INE726G01019,3,3,0,0,04-Dec-2018,150,Buy,Large Cap,363,304,-16 %,65,0,28,30,14,1,32,0,no comments
Abb,INE117A01022,3,4,-1,-33,02-Jan-2019,121,Buy,Mid Cap,1491,1950,30 %,22,0,12,16,-3,23,3,0,no comments
Honeywell automation,INE671A01010,3,20,-17,-567,12-Mar-2019,52,Buy,Mid Cap,23728,19467,-17 %,8,0,17,28,10,24,3,0,no comments
Relaxo footwears,INE131B01039,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,899,519,-42 %,9,0,24,28,15,29,2,0,no comments
Britannia industries,INE216A01022,3,0,3,100,,0,,Large Cap,2978,1854,-37 %,30,0,38,54,10,33,2,0,no comments
United breweries,INE686F01025,6,3,3,50,09-Nov-2018,175,Buy,Mid Cap,1429,2001,40 %,12,0,14,18,8,18,4,18,no comments
Bata,INE176A01028,3,4,-1,-33,09-Nov-2018,175,Buy,Small Cap,1464,852,-41 %,24,0,15,23,7,5,12,0,no comments
Pidilite industries,INE318A01026,3,3,0,0,04-Apr-2018,394,Buy,Large Cap,1222,814,-33 %,29,0,29,41,11,19,4,0,no comments
V guard industries,INE951I01027,3,2,1,33,22-Apr-2019,11,Buy,Small Cap,221,120,-45 %,21,0,23,32,11,16,4,0,no comments
Titan company,INE280A01028,6,5,1,17,02-Jan-2019,121,Buy,Large Cap,1149,738,-35 %,30,0,22,25,10,9,8,0,no comments
3m,INE470A01017,3,23,-20,-667,12-Mar-2019,52,Buy,Mid Cap,24673,23430,-5 %,0,0,22,34,10,43,2,0,no comments
Procter gamble hygiene health care,INE179A01014,3,8,-5,-167,09-Jun-2017,693,Buy,Large Cap,10557,7282,-31 %,118,0,39,60,8,13,7,0,no comments
Avenue supermarts,INE192R01011,3,3,0,0,09-Nov-2018,175,Buy,Large Cap,1331,1357,1 %,0,0,19,23,36,53,2,0,no comments
Info edge,INE663F01024,6,3,3,50,03-Jul-2018,304,Buy,Mid Cap,2014,7007,247 %,-64,0,7,11,16,21,5,0,no comments
Trent,INE849A01020,3,2,1,33,04-Apr-2018,394,Buy,Mid Cap,355,262,-26 %,33,0,7,10,18,23,4,0,no comments
Gillette,INE322A01010,3,5,-2,-67,12-Jun-2017,690,Buy,Mid Cap,7599,6633,-12 %,101,0,33,50,3,22,5,0,no comments
Narayana hrudayalaya,INE410P01011,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,209,243,16 %,0,1,6,10,22,34,4,0,no comments
Eid parry,INE126A01031,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,201,14,-93 %,11,2,11,16,6,8,26,0,no comments
Axis bank,INE238A01034,3,2,1,33,04-Apr-2018,394,Buy,Large Cap,753,110,-85 %,15,10,8,6,11,-40,-12,0,no comments
Basf,INE373A01013,3,3,0,0,04-Apr-2018,394,Buy,Small Cap,1370,405,-70 %,-13,1,-3,4,7,1,135,0,no comments
Cummins,INE298A01020,3,3,0,0,09-Nov-2018,175,Buy,Mid Cap,739,816,10 %,54,0,20,25,2,0,306,0,no comments
