comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Allcargo logistics,INE418H01029,3,2,1,33,02-Jan-2019,121,Buy,Small Cap,113,111,-1 %,24,0,11,13,9,1,22,0,no comments
Mrf,INE883A01011,6,55,-49,-817,12-Mar-2019,52,Buy,Large Cap,55642,38936,-30 %,2,0,22,28,5,14,1,0,no comments
Central depository services,INE736A01011,3,2,1,33,03-Jul-2018,304,Buy,Small Cap,233,290,24 %,34,0,17,23,13,15,1,0,no comments
Akzo nobel,INE133A01011,3,4,-1,-33,03-Jul-2018,304,Buy,Small Cap,1754,2509,43 %,73,0,24,31,5,27,1,0,no comments
Adani ports special economic zone,INE742F01042,6,2,4,67,03-Jul-2018,304,Buy,Large Cap,392,363,-7 %,9,1,23,15,26,19,1,42,no comments
Mahindra mahindra financial services,INE774D01024,3,2,1,33,04-Dec-2018,150,Buy,Mid Cap,433,545,25 %,32,4,10,10,13,1,30,0,no comments
Upl,INE628A01036,3,5,-2,-67,25-Jan-2017,828,Buy,Large Cap,948,610,-35 %,21,1,29,23,14,22,1,2,no comments
Century plyboards,INE348B01021,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,182,204,12 %,13,1,28,22,12,25,1,0,no comments
Carborundum universal,INE120A01034,3,2,1,33,09-Nov-2018,175,Buy,Small Cap,373,376,0 %,19,0,14,19,4,19,1,0,no comments
Indusind bank,INE095A01012,3,2,1,33,23-Aug-2018,253,Buy,Large Cap,1699,1633,-3 %,12,8,16,8,20,28,1,0,no comments
Eicher motors,INE066A01013,3,24,-21,-700,12-Mar-2019,52,Buy,Large Cap,20532,33638,63 %,17,0,36,53,7,45,1,0,no comments
Motherson sumi systems,INE775A01035,3,3,0,0,06-Nov-2018,178,Buy,Large Cap,149,184,23 %,24,1,24,23,17,31,1,4,no comments
Hdfc bank,INE040A01026,15,18,-3,-20,04-Dec-2018,150,Buy,Large Cap,2280,1929,-15 %,19,9,18,8,18,21,1,0,no comments
Maruti suzuki,INE585B01010,15,19,-4,-27,05-Dec-2018,149,Buy,Large Cap,7017,6259,-10 %,27,0,17,24,13,25,1,0,no comments
Aegis logistics,INE208C01025,3,2,1,33,02-Jan-2019,121,Buy,Small Cap,197,178,-9 %,26,0,20,21,4,42,1,0,no comments
Tvs motor company,INE494B01023,3,3,0,0,03-Jul-2018,304,Buy,Large Cap,517,466,-9 %,23,0,25,23,16,29,1,0,no comments
Voltas,INE226A01021,3,3,0,0,09-Nov-2018,175,Buy,Mid Cap,617,416,-32 %,23,0,16,21,3,24,1,0,no comments
Pi industries,INE603J01030,3,2,1,33,02-Jan-2019,121,Buy,Mid Cap,1014,748,-26 %,14,0,27,31,15,31,1,0,no comments
Schaeffler,INE513A01014,3,6,-3,-100,07-Sep-2018,238,Buy,Small Cap,5500,4483,-18 %,13,0,18,27,27,30,1,0,no comments
Godrej properties,INE484J01027,3,2,1,33,03-Jul-2018,304,Buy,Mid Cap,892,242,-72 %,0,2,8,6,13,-8,-17,0,no comments
