comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_myavgiv, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Coal,INE522F01014,3,10,-7,-233,27-Nov-2017,519,Buy,Large Cap,284,208,254,-244,437,133,0,34,51,14,-17,-1,0,profit5 < 0 and tbd_units le 0 and Failed
Tata chemicals,INE092A01019,3,3,0,0,04-Apr-2018,391,Buy,Mid Cap,149,208,583,470,1199,28,1,13,12,-7,20,0,0,sales5 < 0 and tbd_units le 0 and Failed
Piramal enterprises,INE140A01024,3,5,-2,-67,04-Apr-2018,391,Buy,Large Cap,18,206,2586,0,3820,24,2,16,9,25,0,0,0,tbd_units le 0 and Failed
Fortis healthcare,INE061F01013,3,2,1,33,04-Apr-2018,391,Buy,Small Cap,1,204,139,0,-4099,0,0,2,6,8,-5,0,0,dp3 < 6 and roe3 < 4 and profit5 < 0 and Failed
Venkys,INE398A01010,3,2,1,33,22-Sep-2017,585,Buy,Small Cap,219,102,2077,632,2379,10,0,24,24,14,53,0,0,Passed
Cox kings,INE008I01026,3,2,1,33,01-Feb-2018,453,Buy,Small Cap,134,5,132,187,197,17,1,7,12,29,7,2,63,pledge > 25 and Failed
Supreme industries,INE195A01028,3,2,1,33,04-Apr-2018,391,Buy,Mid Cap,0,0,0,0,0,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Tata power co,INE245A01021,3,2,1,33,04-Apr-2018,391,Buy,Mid Cap,9,-13,68,0,828,36,3,5,7,-2,0,0,4,d2e > 2 and sales5 < 0 and Failed
Dr reddys laboratories,INE089A01023,3,4,-1,-33,04-Apr-2018,391,Buy,Large Cap,242,-23,2859,-4560,2907,26,0,12,12,4,-10,-3,0,profit5 < 0 and tbd_units le 0 and Failed
Hsil,INE415A01038,3,2,1,33,04-Apr-2018,391,Buy,Micro Cap,42,-26,264,-2695,173,31,1,7,8,8,-2,-22,0,profit5 < 0 and cmp > myavgiv and Failed
Future retail,INE752P01024,3,2,1,33,01-Feb-2018,453,Buy,Mid Cap,206,-29,423,0,1579,0,0,17,16,66,0,0,48,dp3 < 6 and pledge > 25 and Failed
Dlf,INE271C01023,6,9,-3,-50,02-Jan-2018,483,Buy,Large Cap,39,-33,176,-2089,315,58,1,1,7,-3,-2,-21,0,roe3 < 4 and sales5 < 0 and profit5 < 0 and tbd_units le 0 and Failed
Coffee day enterprises,INE335K01011,3,2,1,33,04-Apr-2018,391,Buy,Small Cap,5,-59,267,0,488,0,2,1,7,8,0,0,72,dp3 < 6 and roe3 < 4 and pledge > 25 and Failed
Shoppers stop,INE498B01024,3,2,1,33,01-Feb-2018,453,Buy,Small Cap,106,-59,460,0,12538,82,0,2,5,4,0,0,13,roe3 < 4 and Failed
Thomas cook,INE332A01027,3,2,1,33,01-Feb-2018,453,Buy,Small Cap,105,-65,250,1215,10970,5,0,-16,63,92,159,0,0,dp3 < 6 and roe3 < 4 and Failed
