comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Balrampur chini mills,INE119A01028,3,2,1,33,02-Jan-2019,124,Buy,Micro Cap,157,769,389 %,13,1,26,17,6,6,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Nhpc,INE848E01016,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,24,113,370 %,69,1,9,9,6,5,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Ashok leyland,INE208A01029,3,1,2,67,29-Oct-2018,189,Buy,Large Cap,90,377,318 %,50,0,22,25,16,57,0,7, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Nlc,INE589A01014,3,2,1,33,26-Oct-2018,192,Buy,Mid Cap,65,169,160 %,102,1,15,17,9,7,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Indraprastha gas,INE203G01027,3,1,2,67,07-Sep-2018,241,Buy,Mid Cap,309,696,125 %,15,0,20,30,6,13,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Glenmark pharmaceuticals,INE935A01035,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,633,1075,69 %,7,1,23,18,13,5,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Kaveri seed company,INE455I01029,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,449,728,62 %,6,0,18,19,2,10,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Pfizer,INE182A01018,3,2,1,33,19-Sep-2017,594,Buy,Mid Cap,3128,4745,51 %,25,0,13,20,13,12,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Cadila healthcare,INE010B01027,3,2,1,33,03-Jul-2018,307,Buy,Large Cap,304,448,47 %,20,1,27,20,13,22,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Vrl logistics,INE366I01010,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,265,388,46 %,32,0,18,21,8,15,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Rallis,INE613A01020,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,146,204,39 %,29,0,16,21,5,8,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Tata elxsi,INE670A01012,3,1,2,67,29-Oct-2018,189,Buy,Small Cap,874,1158,32 %,28,0,39,60,18,51,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Heidelbergcement,INE578A01017,3,1,2,67,26-Oct-2018,192,Buy,Small Cap,182,224,23 %,34,1,9,12,16,42,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Godrej agrovet,INE850D01014,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,519,638,22 %,29,0,21,21,13,18,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Central depository services,INE736A01011,3,2,1,33,03-Jul-2018,307,Buy,Small Cap,232,283,21 %,34,0,17,23,13,15,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Amara raja batteries,INE885A01032,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,659,736,11 %,15,0,20,29,15,10,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
