+---------------+---------------+-------------+---------------+----------------+
| security_name | corpact_score | bonus_score | buyback_score | dividend_score |
+---------------+---------------+-------------+---------------+----------------+
|     WIPRO     |       10      |      2      |       3       |       5        |
|      BEL      |       9       |      2      |       2       |       5        |
|     ECLERX    |       9       |      1      |       3       |       5        |
|      OIL      |       9       |      2      |       2       |       5        |
|   AARTIDRUGS  |       8       |      0      |       3       |       5        |
|    AARTIIND   |       8       |      1      |       2       |       5        |
|      GAIL     |       8       |      3      |       0       |       5        |
|      INFY     |       8       |      2      |       1       |       5        |
|      IOC      |       8       |      2      |       1       |       5        |
|    KPRMILL    |       8       |      0      |       3       |       5        |
|      MOIL     |       8       |      1      |       2       |       5        |
|   MOTHERSUMI  |       8       |      3      |       0       |       5        |
|     SASKEN    |       8       |      0      |       3       |       5        |
|      TCS      |       8       |      1      |       2       |       5        |
|    ALLCARGO   |       7       |      1      |       1       |       5        |
|   BAYERCROP   |       7       |      0      |       2       |       5        |
|      BHEL     |       7       |      1      |       1       |       5        |
|     BIOCON    |       7       |      2      |       0       |       5        |
|    BOSCHLTD   |       7       |      0      |       2       |       5        |
|      BPCL     |       7       |      2      |       0       |       5        |
|    CHEVIOT    |       7       |      1      |       1       |       5        |
|   COASTCORP   |       7       |      2      |       0       |       5        |
|     CONCOR    |       7       |      2      |       0       |       5        |
|      CUB      |       7       |      2      |       0       |       5        |
|    DHANUKA    |       7       |      0      |       2       |       5        |
|   ENGINERSIN  |       7       |      1      |       1       |       5        |
|    FRONTSEC   |       7       |      0      |       2       |       5        |
|     GMBREW    |       7       |      2      |       0       |       5        |
|    GODREJCP   |       7       |      2      |       0       |       5        |
|    HCLTECH    |       7       |      0      |       2       |       5        |
|   HINDPETRO   |       7       |      2      |       0       |       5        |
|   JBCHEPHARM  |       7       |      0      |       2       |       5        |
|       LT      |       7       |      1      |       1       |       5        |
|    MARATHON   |       7       |      1      |       1       |       5        |
|   MAYURUNIQ   |       7       |      0      |       2       |       5        |
|    MINDTREE   |       7       |      1      |       1       |       5        |
|    MPHASIS    |       7       |      0      |       2       |       5        |
|   NATIONALUM  |       7       |      0      |       2       |       5        |
|   NAVNETEDUL  |       7       |      0      |       2       |       5        |
|      NHPC     |       7       |      0      |       2       |       5        |
|    NLCINDIA   |       7       |      0      |       2       |       5        |
|      NMDC     |       7       |      0      |       2       |       5        |
|   NOVARTIND   |       7       |      0      |       2       |       5        |
|      ONGC     |       7       |      1      |       1       |       5        |
|     RELAXO    |       7       |      2      |       0       |       5        |
|    SKFINDIA   |       7       |      0      |       2       |       5        |
|     SOBHA     |       7       |      0      |       2       |       5        |
|      SOTL     |       7       |      0      |       2       |       5        |
|   TTKPRESTIG  |       7       |      1      |       1       |       5        |
|      ACGL     |       6       |      0      |       1       |       5        |
|   ADANIPORTS  |       6       |      0      |       1       |       5        |
|     ADORFO    |       6       |      1      |       0       |       5        |
|   AKZOINDIA   |       6       |      0      |       1       |       5        |
|    ALANKIT    |       6       |      1      |       0       |       5        |
|   ALEMBICLTD  |       6       |      0      |       1       |       5        |
|    AMNPLST    |       6       |      1      |       0       |       5        |
|    ANUHPHR    |       6       |      1      |       0       |       5        |
|    APARINDS   |       6       |      0      |       1       |       5        |
|   APCOTEXIND  |       6       |      1      |       0       |       5        |
|     ARFIN     |       6       |      2      |       0       |       4        |
|    ASALCBR    |       6       |      1      |       0       |       5        |
|     ASIIL     |       6       |      1      |       0       |       5        |
|     ASTRAL    |       6       |      1      |       0       |       5        |
|   AUROPHARMA  |       6       |      1      |       0       |       5        |
|     AVANTI    |       6       |      1      |       0       |       5        |
|   BAJFINANCE  |       6       |      1      |       0       |       5        |
|   BALKRISIND  |       6       |      1      |       0       |       5        |
|   BALMLAWRIE  |       6       |      1      |       0       |       5        |
|   BALRAMCHIN  |       6       |      0      |       3       |       3        |
|   BERGEPAINT  |       6       |      1      |       0       |       5        |
|     BHAGIL    |       6       |      1      |       0       |       5        |
|   BHARATFORG  |       6       |      1      |       0       |       5        |
|    BOMBCYC    |       6       |      1      |       0       |       5        |
|    BOROSIL    |       6       |      1      |       1       |       4        |
|    BRIGADE    |       6       |      1      |       0       |       5        |
|   CASTROLIND  |       6       |      1      |       0       |       5        |
|  CEINSYSTECH  |       6       |      1      |       0       |       5        |
|   COALINDIA   |       6       |      0      |       2       |       4        |
|     COLPAL    |       6       |      1      |       0       |       5        |
|    COMPUAGE   |       6       |      1      |       0       |       5        |
|      CPL      |       6       |      1      |       0       |       5        |
|     CUPID     |       6       |      1      |       0       |       5        |
|     DBCORP    |       6       |      0      |       1       |       5        |
|    DIVISLAB   |       6       |      1      |       0       |       5        |
|    EMAMILTD   |       6       |      1      |       0       |       5        |
|    ESSELPRO   |       6       |      1      |       0       |       5        |
|   FEDERALBNK  |       6       |      1      |       0       |       5        |
|    FOODSIN    |       6       |      1      |       0       |       5        |
|   GANDHITUBE  |       6       |      0      |       2       |       4        |
|   GANESHHOUC  |       6       |      1      |       0       |       5        |
|     GLAXO     |       6       |      1      |       0       |       5        |
|   GREAVESCOT  |       6       |      0      |       1       |       5        |
|   GRINDWELL   |       6       |      1      |       0       |       5        |
|      GRUH     |       6       |      1      |       0       |       5        |
|     HATSUN    |       6       |      1      |       0       |       5        |
|    HEXAWARE   |       6       |      0      |       1       |       5        |
|     HIKAL     |       6       |      1      |       0       |       5        |
|   HINDCOMPOS  |       6       |      1      |       0       |       5        |
|    HISARMET   |       6       |      1      |       0       |       5        |
|   ICICIBANK   |       6       |      1      |       0       |       5        |
|    IGARASHI   |       6       |      1      |       0       |       5        |
|    INDGELA    |       6       |      0      |       1       |       5        |
|   INDIANHUME  |       6       |      1      |       0       |       5        |
|    INDPRUD    |       6       |      1      |       0       |       5        |
|    INFRATEL   |       6       |      0      |       1       |       5        |
|   INSECTICID  |       6       |      1      |       0       |       5        |
|      ITC      |       6       |      1      |       0       |       5        |
|     JAGRAN    |       6       |      0      |       2       |       4        |
|   JAYAGROGN   |       6       |      1      |       0       |       5        |
|    JENBURPH   |       6       |      0      |       1       |       5        |
|    JUBLFOOD   |       6       |      1      |       0       |       5        |
|   JYOTHYLAB   |       6       |      1      |       0       |       5        |
|     KALLAM    |       6       |      1      |       0       |       5        |
|    KANPRPLA   |       6       |      1      |       0       |       5        |
|   KARURVYSYA  |       6       |      1      |       0       |       5        |
|    KGDENIM    |       6       |      0      |       1       |       5        |
|     KITEX     |       6       |      1      |       0       |       5        |
|   KOTAKBANK   |       6       |      1      |       0       |       5        |
|   KOTHARIPRO  |       6       |      1      |       0       |       5        |
|      KSCL     |       6       |      0      |       2       |       4        |
|      KTIL     |       6       |      1      |       0       |       5        |
|   LANCORHOL   |       6       |      1      |       0       |       5        |
|    LAOPALA    |       6       |      1      |       0       |       5        |
|   LAXMIMACH   |       6       |      0      |       1       |       5        |
|   LGBBROSLTD  |       6       |      1      |       0       |       5        |
|      M&M      |       6       |      1      |       0       |       5        |
|   MAITHANALL  |       6       |      1      |       0       |       5        |
|     MARICO    |       6       |      1      |       0       |       5        |
|    MENONBE    |       6       |      1      |       0       |       5        |
|    MINDAIND   |       6       |      1      |       0       |       5        |
|      MMFL     |       6       |      1      |       0       |       5        |
|      MMTC     |       6       |      1      |       0       |       5        |
|    MUNJALAU   |       6       |      1      |       0       |       5        |
|      NBCC     |       6       |      1      |       0       |       5        |
|   NBVENTURES  |       6       |      1      |       0       |       5        |
|      NTPC     |       6       |      1      |       0       |       5        |
|    NUCLEUS    |       6       |      0      |       1       |       5        |
|      OAL      |       6       |      1      |       0       |       5        |
|   PANAMAPET   |       6       |      1      |       0       |       5        |
|   PAUSHAKLTD  |       6       |      0      |       1       |       5        |
|    PBMPOLY    |       6       |      0      |       1       |       5        |
|    PETRONET   |       6       |      1      |       0       |       5        |
|   PIDILITIND  |       6       |      0      |       1       |       5        |
|   PLASTIBLEN  |       6       |      1      |       0       |       5        |
|    POLYMED    |       6       |      1      |       0       |       5        |
|    RADIXIND   |       6       |      1      |       0       |       5        |
|   RAJGLOWIR   |       6       |      1      |       0       |       5        |
|     RECLTD    |       6       |      1      |       0       |       5        |
|   REDINGTON   |       6       |      0      |       1       |       5        |
|    RELIANCE   |       6       |      1      |       0       |       5        |
|   RUBYMILLS   |       6       |      1      |       0       |       5        |
|      SJVN     |       6       |      0      |       1       |       5        |
|    SUKHJITS   |       6       |      1      |       0       |       5        |
|   SUNPHARMA   |       6       |      0      |       1       |       5        |
